condition,episode,rso,uncertainty_km
correct,0,0,1.0961499214172363
correct,0,1,0.19145476818084717
correct,0,2,0.24686510860919952
correct,0,3,0.07204118371009827
correct,0,4,0.8261750936508179
correct,0,5,0.3049176335334778
correct,0,6,0.5411766171455383
correct,0,7,0.5334655046463013
correct,0,8,0.1693122535943985
correct,0,9,0.676807701587677
correct,0,10,1.1842707395553589
correct,0,11,0.6471853256225586
correct,0,12,0.1511552333831787
correct,0,13,0.8270637392997742
correct,0,14,0.5050615072250366
correct,0,15,0.48964545130729675
correct,0,16,0.349208801984787
correct,0,17,0.5283780097961426
correct,0,18,0.2782924473285675
correct,0,19,0.0990164577960968
correct,0,20,0.7974065542221069
correct,0,21,0.20154881477355957
correct,0,22,0.910556972026825
correct,0,23,0.5308365225791931
correct,0,24,1.3879684209823608
correct,0,25,0.3805324137210846
correct,0,26,0.08011715114116669
correct,0,27,0.07440191507339478
correct,0,28,0.4691340923309326
correct,0,29,1.2148500680923462
correct,0,30,0.4068065881729126
correct,0,31,0.37092798948287964
correct,0,32,0.40064018964767456
correct,0,33,1.1144822835922241
correct,0,34,0.41094475984573364
correct,0,35,0.236115962266922
correct,0,36,0.1414628028869629
correct,0,37,0.6082780361175537
correct,0,38,0.3883240818977356
correct,0,39,0.5002313852310181
correct,0,40,0.8813319802284241
correct,0,41,0.745470404624939
correct,0,42,0.38250836730003357
correct,0,43,0.608109712600708
correct,0,44,0.801160991191864
correct,0,45,0.5548981428146362
correct,0,46,0.8599317669868469
correct,0,47,0.15393713116645813
correct,0,48,0.6772183179855347
correct,0,49,1.0976824760437012
correct,0,50,0.7393394708633423
correct,0,51,2.1100094318389893
correct,0,52,0.26063022017478943
correct,0,53,0.7514365911483765
correct,0,54,0.41771915555000305
correct,0,55,0.5225153565406799
correct,0,56,0.71877521276474
correct,0,57,0.3926437199115753
correct,0,58,0.2590547502040863
correct,0,59,0.37152099609375
correct,0,60,0.378837525844574
correct,0,61,0.6682946681976318
correct,0,62,0.6385121941566467
correct,0,63,0.6137576103210449
correct,0,64,0.45715153217315674
correct,0,65,1.2414301633834839
correct,0,66,0.8199294209480286
correct,0,67,0.5235783457756042
correct,0,68,0.5458859205245972
correct,0,69,1.2105761766433716
correct,0,70,0.5479950904846191
correct,0,71,0.05999999865889549
correct,0,72,0.5720443725585938
correct,0,73,0.33394718170166016
correct,0,74,0.25789347290992737
correct,0,75,0.6525384187698364
correct,0,76,0.05999999865889549
correct,0,77,0.6856799721717834
correct,0,78,0.3167458176612854
correct,0,79,0.9227868914604187
correct,0,80,0.44183051586151123
correct,0,81,0.24317869544029236
correct,0,82,0.12107572704553604
correct,0,83,0.3002483546733856
correct,0,84,0.4726821184158325
correct,0,85,0.9943069219589233
correct,0,86,0.06264882534742355
correct,0,87,0.4169937074184418
correct,0,88,0.3602503538131714
correct,0,89,0.7491819858551025
correct,0,90,0.18439218401908875
correct,0,91,0.29700902104377747
correct,0,92,0.7683449387550354
correct,0,93,0.16282252967357635
correct,0,94,0.20342028141021729
correct,0,95,0.05999999865889549
correct,0,96,1.222951889038086
correct,0,97,0.5885182619094849
correct,0,98,0.6885786652565002
correct,0,99,0.09893065690994263
correct,0,100,0.4465956687927246
correct,0,101,0.29082444310188293
correct,0,102,0.8375596404075623
correct,0,103,0.11333800107240677
correct,0,104,0.16438627243041992
correct,0,105,0.11622975021600723
correct,0,106,0.5340316295623779
correct,0,107,0.498974472284317
correct,0,108,0.17299653589725494
correct,0,109,0.07448031008243561
correct,0,110,0.34199196100234985
correct,0,111,0.7691285610198975
correct,0,112,0.5252206325531006
correct,0,113,0.2650330662727356
correct,0,114,0.4684899151325226
correct,0,115,0.23327146470546722
correct,0,116,0.6354607939720154
correct,0,117,0.32611966133117676
correct,0,118,0.3111996054649353
correct,0,119,0.8606674671173096
correct,0,120,0.31151968240737915
correct,0,121,0.6865881681442261
correct,0,122,0.07737937569618225
correct,0,123,0.06955313682556152
correct,0,124,0.5588089227676392
correct,0,125,0.3319481611251831
correct,0,126,0.5848547220230103
correct,0,127,0.12226027250289917
correct,0,128,0.4965543746948242
correct,0,129,1.1299374103546143
correct,0,130,0.6181666851043701
correct,0,131,0.41630446910858154
correct,0,132,0.211531400680542
correct,0,133,0.35281282663345337
correct,0,134,0.08438465744256973
correct,0,135,0.4470807909965515
correct,0,136,0.23638659715652466
correct,0,137,0.2142421454191208
correct,0,138,0.7137297987937927
correct,0,139,0.758010983467102
correct,0,140,0.05999999865889549
correct,0,141,0.18256688117980957
correct,0,142,0.49408042430877686
correct,0,143,0.2112198770046234
