condition,episode,rso,mean_altitude_km,max_abs_latitude_deg,estimated_inclination_deg,estimated_raan_deg,dominant_sensor,dominant_sensor_fraction,num_visiting_sensors,total_observations
correct,0,0,645.5476514472336,8.434287071228027,171.5652947217301,199.93053860935072,1,0.7777777777777778,2,9
correct,0,1,712.5142642161885,35.58854675292969,35.58949932482034,9.115662456127426,2,1.0,1,40
correct,0,2,652.994140625,79.87332153320312,100.12664487306,355.50039055189205,3,0.5384615384615384,3,26
correct,0,3,658.8233782658812,19.534460067749023,160.45984532042803,6.384735898483495,3,0.37209302325581395,4,43
correct,0,4,643.1247278432377,16.745288848876953,16.745453687434384,346.85809813506586,1,0.8636363636363636,2,22
correct,0,5,706.3795706326845,1.8772212266921997,178.1224679675113,69.96084761300665,2,0.532258064516129,3,62
correct,0,6,638.555383901127,12.452742576599121,12.454587207134994,335.4405055433473,2,0.8846153846153846,3,26
correct,0,7,753.9627305327868,55.351139068603516,55.35121613579564,179.33546850384067,2,0.45454545454545453,3,11
correct,0,8,660.3226018186475,18.61646842956543,18.625191303319614,189.68913428953843,1,0.4117647058823529,4,51
correct,0,9,765.8031586193648,86.73762512207031,90.74495758668604,4.657379397433181,1,0.9047619047619048,2,42
correct,0,10,723.9571913422132,33.037254333496094,146.9543170708124,0.08516448688064687,3,0.5625,4,16
correct,0,11,721.4587442366803,55.52412796020508,55.72457636232463,353.3704623033333,2,0.6666666666666666,2,6
correct,0,12,675.2908475281762,11.47286319732666,11.474919514151082,204.18706981431714,0,0.9117647058823529,2,34
correct,0,13,707.1499823898565,89.31044006347656,89.75602134987876,174.52860020889963,3,0.8571428571428571,2,42
correct,0,14,703.8693647540983,41.79840087890625,41.81383036626534,355.35589180466894,2,0.673469387755102,2,49
correct,0,15,703.560851050205,50.37724304199219,129.6218807670128,172.49133220006777,2,1.0,1,42
correct,0,16,706.752185258709,16.69955062866211,16.701307794851065,187.67111263733094,2,0.8163265306122449,2,49
correct,0,17,678.4154953253073,32.731788635253906,32.73535767131077,193.51528068460976,0,0.41935483870967744,3,31
correct,0,18,647.7691470286885,56.5800895690918,123.3899374695576,0.7726246951036185,0,0.5538461538461539,3,65
correct,0,19,667.1941918545082,24.21942138671875,24.219812489505735,181.58977155666557,0,0.9722222222222222,2,36
correct,0,20,738.7247294441598,17.094778060913086,162.90439544497124,185.71445553809815,2,0.9615384615384616,2,26
correct,0,21,707.1119925076845,31.207866668701172,148.79209050376238,170.6710992465723,3,0.6326530612244898,3,49
correct,0,22,730.4060258709017,64.28952026367188,64.58643912903531,171.29379579672013,0,0.967741935483871,2,31
