condition,normalized_uncertainty_auc_mean,normalized_uncertainty_auc_std,final_mean_uncertainty_km_mean,final_mean_uncertainty_km_std,final_p95_uncertainty_km_mean,final_p95_uncertainty_km_std,final_max_uncertainty_km_mean,final_max_uncertainty_km_std,duplicate_assignment_rate_mean,duplicate_assignment_rate_std,catalogue_coverage_fraction_mean,catalogue_coverage_fraction_std,effective_catalogue_fraction_mean,effective_catalogue_fraction_std
correct,0.865923172183987,0.09833429599963248,0.5665253847837448,0.05314578133619252,1.4116245135664933,0.17239742142824602,5.3164101640383405,4.2231881023484,0.011215277777777768,0.0014464940834421145,1.0,0.0,0.8554852765178312,0.016589110800702488
neutral,0.8515056520512782,0.057421641630913116,0.6262189149856567,0.06561954506737039,1.4638948882619536,0.16803262984393247,5.665311247110367,4.807893550818897,0.010821759259259253,0.0017350726411546828,1.0,0.0,0.8600630083262145,0.010086238334733502
swapped,0.8814979012128878,0.07891388043371034,0.7381702264149984,0.06838816341792373,1.6351296151677757,0.18493356708190836,6.064585308233897,5.669913879267854,0.009710648148148156,0.0012744865936686243,1.0,0.0,0.8516480838156268,0.0180970888735085
