head,token_group,attention_mass,attention_enrichment
1,ego,0.0158685870989356,1.0155895743318784
1,rso_candidates,0.9365971907172151,0.9990370034316962
1,teammates,0.04753422251932563,1.0140634137456135
2,ego,0.015861661492606566,1.0151463355268202
2,rso_candidates,0.93709189320604,0.9995646860864428
2,teammates,0.04704644535517981,1.0036575009105027
3,ego,0.015709011073810078,1.005376708723845
3,rso_candidates,0.9356576350908126,0.9980348107635335
3,teammates,0.04863335419275988,1.0375115561122108
4,ego,0.0153079010390987,0.9797056665023168
4,rso_candidates,0.9386169094472162,1.0011913700770307
4,teammates,0.0460751900895028,0.9829373885760597
