top_k,mean_uncertainty_5h,ci95_5h,auc_mean_u_km_h,latency_ms_step,n_episodes
15,6.172698497772217,0.12546130373624778,61.5860259256981,10.983389897916773,48
30,1.6659199794133503,0.03163289143995555,27.918890373850314,11.42421582833369,48
45,0.9620894988377889,0.020644298903460548,22.11447298664737,11.7199695256948,48
60,0.8182506561279297,0.019950410435474623,20.152120208022776,12.738699895898359,48
75,0.8130111495653788,0.022488872411518455,19.561251910334384,13.45039021174873,48
90,0.8616839249928793,0.018876461750006932,19.368622061555037,14.344869213390565,48
