top_k,step,hours,mean_uncertainty,ci95,n_episodes
15,50,0.06944444444444445,18.902395884195965,0.03044837979360788,48
15,100,0.1388888888888889,17.500908533732098,0.029755055726944642,48
15,150,0.20833333333333334,15.696578661600748,0.027422882787175883,48
15,200,0.2777777777777778,15.613030751546225,0.02991151539560842,48
15,250,0.3472222222222222,18.311314582824707,0.04682237411315122,48
15,300,0.4166666666666667,20.89529259999593,0.05810399977377082,48
15,350,0.4861111111111111,22.59139124552409,0.07386895229817472,48
15,400,0.5555555555555556,23.245975494384766,0.08980002276437213,48
15,450,0.625,23.13555081685384,0.10504363432242908,48
15,500,0.6944444444444444,22.86531639099121,0.1157789755272868,48
15,550,0.7638888888888888,22.597902297973633,0.13499632045767074,48
15,600,0.8333333333333334,23.531945546468098,0.11246211364257307,48
15,650,0.9027777777777778,25.78370730082194,0.13133574782066015,48
15,700,0.9722222222222222,27.455527623494465,0.16750024649175127,48
15,750,1.0416666666666667,28.229517618815105,0.2217735246739175,48
15,800,1.1111111111111112,27.768627802530926,0.27539891608922934,48
15,850,1.1805555555555556,26.04128646850586,0.3137401309166005,48
15,900,1.25,24.139692942301433,0.32022250260053103,48
15,950,1.3194444444444444,22.788090387980144,0.326809276401075,48
15,1000,1.3888888888888888,21.54970105489095,0.367793674046365,48
15,1050,1.4583333333333333,20.090770721435547,0.3980023272254518,48
15,1100,1.5277777777777777,18.302387873331707,0.4273491803634565,48
15,1150,1.5972222222222223,16.572773297627766,0.3889499550235701,48
15,1200,1.6666666666666667,16.39805539449056,0.2874245519754951,48
15,1250,1.7361111111111112,16.649508476257324,0.3145719007428863,48
15,1300,1.8055555555555556,15.996211687723795,0.33329501081303237,48
15,1350,1.875,14.922220230102539,0.33299573898238216,48
15,1400,1.9444444444444444,13.68809954325358,0.33157206785050763,48
15,1450,2.013888888888889,12.431040128072103,0.31993554544131847,48
15,1500,2.0833333333333335,11.306489944458008,0.30714800301583023,48
15,1550,2.1527777777777777,10.446675141652426,0.2519543430176337,48
15,1600,2.2222222222222223,10.305107116699219,0.217749034568627,48
15,1650,2.2916666666666665,10.316781361897787,0.24540117806491424,48
15,1700,2.361111111111111,10.020856380462646,0.26852405238054294,48
15,1750,2.4305555555555554,9.454983870188395,0.2818457858736919,48
15,1800,2.5,8.774774869283041,0.27139325696666233,48
15,1850,2.5694444444444446,8.292652289072672,0.21539741761584816,48
15,1900,2.638888888888889,8.331172784169516,0.1915425108275962,48
15,1950,2.7083333333333335,8.352366129557291,0.20753536849001955,48
15,2000,2.7777777777777777,8.190120697021484,0.21441623091877535,48
15,2050,2.8472222222222223,7.889130592346191,0.22140774452894027,48
15,2100,2.9166666666666665,7.487634499867757,0.21665202638911257,48
15,2150,2.986111111111111,6.977564970652263,0.21137465424687987,48
15,2200,3.0555555555555554,6.417285124460856,0.19163634506847307,48
15,2250,3.125,5.973252296447754,0.13773987474602636,48
15,2300,3.1944444444444446,5.849493026733398,0.10340439483008004,48
15,2350,3.263888888888889,5.858903090159099,0.10655828786269297,48
15,2400,3.3333333333333335,5.868079821268718,0.10663291269013822,48
15,2450,3.4027777777777777,5.860575834910075,0.1086744330745615,48
15,2500,3.4722222222222223,5.863234678904216,0.10268641740014,48
15,2550,3.5416666666666665,5.945119063059489,0.0840662554048862,48
15,2600,3.611111111111111,6.103811105092366,0.09027336594574126,48
15,2650,3.6805555555555554,6.187575976053874,0.10695991086654537,48
15,2700,3.75,6.205300331115723,0.10935092945737328,48
15,2750,3.8194444444444446,6.217218557993571,0.11173340168545284,48
15,2800,3.888888888888889,6.226704438527425,0.11384064686372981,48
15,2850,3.9583333333333335,6.237449010213216,0.11679871251947764,48
15,2900,4.027777777777778,6.263380209604899,0.11130830369301367,48
15,2950,4.097222222222222,6.336170037587483,0.10566258201969478,48
15,3000,4.166666666666667,6.431138515472412,0.11731071421063342,48
15,3050,4.236111111111111,6.4615302085876465,0.133708951026636,48
15,3100,4.305555555555555,6.399064540863037,0.14359127397274432,48
15,3150,4.375,6.311533610026042,0.14751800729926168,48
15,3200,4.444444444444445,6.227956136067708,0.13583527507482743,48
15,3250,4.513888888888889,6.233992417653401,0.10968481859994414,48
15,3300,4.583333333333333,6.318918069203694,0.1106789141682444,48
15,3350,4.652777777777778,6.376852512359619,0.12370454988989235,48
15,3400,4.722222222222222,6.365547339121501,0.13156081493851035,48
15,3450,4.791666666666667,6.335935115814209,0.13565869104786482,48
15,3500,4.861111111111111,6.275041103363037,0.139263594538671,48
15,3550,4.930555555555555,6.2114278475443525,0.13730670288921276,48
15,3600,5.0,6.172698497772217,0.12546130373624778,48
30,50,0.06944444444444445,18.603626251220703,0.024939961506478217,48
30,100,0.1388888888888889,16.935566902160645,0.02561542398567983,48
30,150,0.20833333333333334,14.966912905375162,0.02595096109702409,48
30,200,0.2777777777777778,14.636876424153646,0.02046166284546499,48
30,250,0.3472222222222222,16.743173281351726,0.0362389010128173,48
30,300,0.4166666666666667,18.494584719340008,0.04641211023981915,48
30,350,0.4861111111111111,19.275120735168457,0.05250735673693209,48
30,400,0.5555555555555556,18.976558367411297,0.05868694761525315,48
30,450,0.625,17.90259297688802,0.07472081532360597,48
30,500,0.6944444444444444,17.03173033396403,0.07285509943169188,48
