num_rso,num_sensors,rso_per_sensor,episode,seed,step,time_h,mean_u_km
2000,6,333.3333333333333,0,84000,0,0.0,19.716922760009766
2000,6,333.3333333333333,0,84000,30,0.041666666666666664,18.45403480529785
2000,6,333.3333333333333,0,84000,60,0.08333333333333333,17.267250061035156
2000,6,333.3333333333333,0,84000,90,0.125,15.898849487304688
2000,6,333.3333333333333,0,84000,120,0.16666666666666666,14.34736156463623
2000,6,333.3333333333333,0,84000,150,0.20833333333333334,13.112643241882324
2000,6,333.3333333333333,0,84000,180,0.25,12.258318901062012
2000,6,333.3333333333333,0,84000,210,0.2916666666666667,12.472253799438477
2000,6,333.3333333333333,0,84000,240,0.3333333333333333,13.151440620422363
2000,6,333.3333333333333,0,84000,270,0.375,13.799283027648926
2000,6,333.3333333333333,0,84000,300,0.4166666666666667,14.744367599487305
2000,6,333.3333333333333,0,84000,330,0.4583333333333333,15.799050331115723
2000,6,333.3333333333333,0,84000,360,0.5,16.173538208007812
2000,6,333.3333333333333,0,84000,390,0.5416666666666666,16.5277156829834
2000,6,333.3333333333333,0,84000,420,0.5833333333333334,16.14964485168457
2000,6,333.3333333333333,0,84000,450,0.625,15.306224822998047
2000,6,333.3333333333333,0,84000,480,0.6666666666666666,14.238734245300293
2000,6,333.3333333333333,0,84000,510,0.7083333333333334,12.403679847717285
2000,6,333.3333333333333,0,84000,540,0.75,11.241629600524902
2000,6,333.3333333333333,0,84000,570,0.7916666666666666,9.908618927001953
2000,6,333.3333333333333,0,84000,600,0.8333333333333334,9.6871976852417
2000,6,333.3333333333333,0,84000,630,0.875,9.58764362335205
2000,6,333.3333333333333,0,84000,660,0.9166666666666666,10.130522727966309
2000,6,333.3333333333333,0,84000,690,0.9583333333333334,10.43017578125
2000,6,333.3333333333333,0,84000,720,1.0,10.647177696228027
2000,6,333.3333333333333,0,84000,750,1.0416666666666667,10.7244234085083
2000,6,333.3333333333333,0,84000,780,1.0833333333333333,10.861933708190918
2000,6,333.3333333333333,0,84000,810,1.125,11.036669731140137
2000,6,333.3333333333333,0,84000,840,1.1666666666666667,11.265559196472168
2000,6,333.3333333333333,0,84000,870,1.2083333333333333,11.221145629882812
2000,6,333.3333333333333,0,84000,900,1.25,11.33536148071289
2000,6,333.3333333333333,0,84000,930,1.2916666666666667,11.312640190124512
2000,6,333.3333333333333,0,84000,960,1.3333333333333333,10.981738090515137
2000,6,333.3333333333333,0,84000,990,1.375,10.38900375366211
2000,6,333.3333333333333,0,84000,1020,1.4166666666666667,9.103940963745117
2000,6,333.3333333333333,0,84000,1050,1.4583333333333333,8.288337707519531
2000,6,333.3333333333333,0,84000,1080,1.5,7.171581745147705
2000,6,333.3333333333333,0,84000,1110,1.5416666666666667,6.537242412567139
2000,6,333.3333333333333,0,84000,1140,1.5833333333333333,6.304878234863281
2000,6,333.3333333333333,0,84000,1170,1.625,6.393930435180664
2000,6,333.3333333333333,0,84000,1200,1.6666666666666667,6.635358810424805
2000,6,333.3333333333333,0,84000,1230,1.7083333333333333,6.689765453338623
2000,6,333.3333333333333,0,84000,1260,1.75,6.50555944442749
2000,6,333.3333333333333,0,84000,1290,1.7916666666666667,6.4033074378967285
2000,6,333.3333333333333,0,84000,1320,1.8333333333333333,6.385120391845703
2000,6,333.3333333333333,0,84000,1350,1.875,6.183625221252441
2000,6,333.3333333333333,0,84000,1380,1.9166666666666667,5.845914840698242
2000,6,333.3333333333333,0,84000,1410,1.9583333333333333,5.850890159606934
2000,6,333.3333333333333,0,84000,1440,2.0,5.885142803192139
2000,6,333.3333333333333,0,84000,1470,2.0416666666666665,5.955968856811523
2000,6,333.3333333333333,0,84000,1500,2.0833333333333335,5.8998894691467285
2000,6,333.3333333333333,0,84000,1530,2.125,5.804161548614502
2000,6,333.3333333333333,0,84000,1560,2.1666666666666665,5.556112289428711
2000,6,333.3333333333333,0,84000,1590,2.2083333333333335,5.174197673797607
2000,6,333.3333333333333,0,84000,1620,2.25,4.9849677085876465
2000,6,333.3333333333333,0,84000,1650,2.2916666666666665,4.927284240722656
2000,6,333.3333333333333,0,84000,1680,2.3333333333333335,4.820788860321045
2000,6,333.3333333333333,0,84000,1710,2.375,4.668700218200684
2000,6,333.3333333333333,0,84000,1740,2.4166666666666665,4.769803524017334
2000,6,333.3333333333333,0,84000,1770,2.4583333333333335,4.623877048492432
2000,6,333.3333333333333,0,84000,1800,2.5,4.691761493682861
2000,6,333.3333333333333,0,84000,1830,2.5416666666666665,4.707307815551758
2000,6,333.3333333333333,0,84000,1860,2.5833333333333335,4.742786884307861
2000,6,333.3333333333333,0,84000,1890,2.625,4.607835292816162
2000,6,333.3333333333333,0,84000,1920,2.6666666666666665,4.46561336517334
2000,6,333.3333333333333,0,84000,1950,2.7083333333333335,4.382972240447998
2000,6,333.3333333333333,0,84000,1980,2.75,4.418588638305664
2000,6,333.3333333333333,0,84000,2010,2.7916666666666665,4.41535758972168
2000,6,333.3333333333333,0,84000,2040,2.8333333333333335,4.417240142822266
2000,6,333.3333333333333,0,84000,2070,2.875,4.4160871505737305
2000,6,333.3333333333333,0,84000,2100,2.9166666666666665,4.420957565307617
2000,6,333.3333333333333,0,84000,2130,2.9583333333333335,4.409873962402344
2000,6,333.3333333333333,0,84000,2160,3.0,4.312119007110596
2000,6,333.3333333333333,0,84000,2190,3.0416666666666665,4.064094066619873
2000,6,333.3333333333333,0,84000,2220,3.0833333333333335,4.04960298538208
2000,6,333.3333333333333,0,84000,2250,3.125,3.9606800079345703
2000,6,333.3333333333333,0,84000,2280,3.1666666666666665,3.97666597366333
2000,6,333.3333333333333,0,84000,2310,3.2083333333333335,3.9515509605407715
2000,6,333.3333333333333,0,84000,2340,3.25,4.021912574768066
2000,6,333.3333333333333,0,84000,2370,3.2916666666666665,4.034383773803711
2000,6,333.3333333333333,0,84000,2400,3.3333333333333335,4.103216171264648
2000,6,333.3333333333333,0,84000,2430,3.375,4.146514415740967
2000,6,333.3333333333333,0,84000,2460,3.4166666666666665,3.961207628250122
2000,6,333.3333333333333,0,84000,2490,3.4583333333333335,4.034064769744873
2000,6,333.3333333333333,0,84000,2520,3.5,3.9101972579956055
2000,6,333.3333333333333,0,84000,2550,3.5416666666666665,3.77162504196167
2000,6,333.3333333333333,0,84000,2580,3.5833333333333335,3.8490102291107178
2000,6,333.3333333333333,0,84000,2610,3.625,3.8460068702697754
2000,6,333.3333333333333,0,84000,2640,3.6666666666666665,3.8876163959503174
2000,6,333.3333333333333,0,84000,2670,3.7083333333333335,3.7921693325042725
2000,6,333.3333333333333,0,84000,2700,3.75,3.812840223312378
2000,6,333.3333333333333,0,84000,2730,3.7916666666666665,3.72029972076416
2000,6,333.3333333333333,0,84000,2760,3.8333333333333335,3.7804856300354004
2000,6,333.3333333333333,0,84000,2790,3.875,3.7183499336242676
2000,6,333.3333333333333,0,84000,2820,3.9166666666666665,3.453249454498291
2000,6,333.3333333333333,0,84000,2850,3.9583333333333335,3.3567090034484863
2000,6,333.3333333333333,0,84000,2880,4.0,3.3565220832824707
2000,6,333.3333333333333,0,84000,2910,4.041666666666667,3.4209272861480713
2000,6,333.3333333333333,0,84000,2940,4.083333333333333,3.344447612762451
2000,6,333.3333333333333,0,84000,2970,4.125,3.3541767597198486
2000,6,333.3333333333333,0,84000,3000,4.166666666666667,3.379204511642456
2000,6,333.3333333333333,0,84000,3030,4.208333333333333,3.241175889968872
2000,6,333.3333333333333,0,84000,3060,4.25,3.354374885559082
2000,6,333.3333333333333,0,84000,3090,4.291666666666667,3.280531883239746
2000,6,333.3333333333333,0,84000,3120,4.333333333333333,3.2751002311706543
2000,6,333.3333333333333,0,84000,3150,4.375,3.2235946655273438
2000,6,333.3333333333333,0,84000,3180,4.416666666666667,3.239422559738159
2000,6,333.3333333333333,0,84000,3210,4.458333333333333,3.2572691440582275
2000,6,333.3333333333333,0,84000,3240,4.5,3.296466588973999
2000,6,333.3333333333333,0,84000,3270,4.541666666666667,3.2211661338806152
2000,6,333.3333333333333,0,84000,3300,4.583333333333333,3.3083856105804443
2000,6,333.3333333333333,0,84000,3330,4.625,3.2234957218170166
2000,6,333.3333333333333,0,84000,3360,4.666666666666667,3.161107063293457
2000,6,333.3333333333333,0,84000,3390,4.708333333333333,3.021557092666626
2000,6,333.3333333333333,0,84000,3420,4.75,2.8425309658050537
2000,6,333.3333333333333,0,84000,3450,4.791666666666667,2.752645492553711
2000,6,333.3333333333333,0,84000,3480,4.833333333333333,2.9075820446014404
2000,6,333.3333333333333,0,84000,3510,4.875,2.9620847702026367
2000,6,333.3333333333333,0,84000,3540,4.916666666666667,2.964120864868164
2000,6,333.3333333333333,0,84000,3570,4.958333333333333,2.960148334503174
2000,6,333.3333333333333,0,84000,3600,5.0,2.9668877124786377
2000,6,333.3333333333333,1,84000,0,0.0,20.073928833007812
2000,6,333.3333333333333,1,84000,30,0.041666666666666664,18.729764938354492
2000,6,333.3333333333333,1,84000,60,0.08333333333333333,17.480323791503906
2000,6,333.3333333333333,1,84000,90,0.125,16.092130661010742
2000,6,333.3333333333333,1,84000,120,0.16666666666666666,14.604669570922852
2000,6,333.3333333333333,1,84000,150,0.20833333333333334,13.246322631835938
2000,6,333.3333333333333,1,84000,180,0.25,12.379111289978027
2000,6,333.3333333333333,1,84000,210,0.2916666666666667,12.500808715820312
2000,6,333.3333333333333,1,84000,240,0.3333333333333333,13.303175926208496
2000,6,333.3333333333333,1,84000,270,0.375,13.930196762084961
2000,6,333.3333333333333,1,84000,300,0.4166666666666667,14.669090270996094
2000,6,333.3333333333333,1,84000,330,0.4583333333333333,15.475522994995117
2000,6,333.3333333333333,1,84000,360,0.5,16.031705856323242
2000,6,333.3333333333333,1,84000,390,0.5416666666666666,15.980524063110352
2000,6,333.3333333333333,1,84000,420,0.5833333333333334,15.802694320678711
2000,6,333.3333333333333,1,84000,450,0.625,14.943809509277344
2000,6,333.3333333333333,1,84000,480,0.6666666666666666,13.843486785888672
2000,6,333.3333333333333,1,84000,510,0.7083333333333334,12.376953125
2000,6,333.3333333333333,1,84000,540,0.75,11.233633041381836
2000,6,333.3333333333333,1,84000,570,0.7916666666666666,10.427240371704102
2000,6,333.3333333333333,1,84000,600,0.8333333333333334,9.82545280456543
2000,6,333.3333333333333,1,84000,630,0.875,9.894449234008789
2000,6,333.3333333333333,1,84000,660,0.9166666666666666,10.057491302490234
2000,6,333.3333333333333,1,84000,690,0.9583333333333334,10.067625045776367
2000,6,333.3333333333333,1,84000,720,1.0,10.27047061920166
2000,6,333.3333333333333,1,84000,750,1.0416666666666667,10.562631607055664
2000,6,333.3333333333333,1,84000,780,1.0833333333333333,10.740717887878418
2000,6,333.3333333333333,1,84000,810,1.125,10.849457740783691
2000,6,333.3333333333333,1,84000,840,1.1666666666666667,10.489517211914062
2000,6,333.3333333333333,1,84000,870,1.2083333333333333,10.524642944335938
2000,6,333.3333333333333,1,84000,900,1.25,10.495339393615723
2000,6,333.3333333333333,1,84000,930,1.2916666666666667,10.536287307739258
2000,6,333.3333333333333,1,84000,960,1.3333333333333333,10.157257080078125
2000,6,333.3333333333333,1,84000,990,1.375,9.716456413269043
2000,6,333.3333333333333,1,84000,1020,1.4166666666666667,8.914732933044434
2000,6,333.3333333333333,1,84000,1050,1.4583333333333333,8.21241569519043
2000,6,333.3333333333333,1,84000,1080,1.5,7.385867118835449
2000,6,333.3333333333333,1,84000,1110,1.5416666666666667,6.438080787658691
2000,6,333.3333333333333,1,84000,1140,1.5833333333333333,6.196475505828857
2000,6,333.3333333333333,1,84000,1170,1.625,6.142129898071289
2000,6,333.3333333333333,1,84000,1200,1.6666666666666667,6.344051361083984
2000,6,333.3333333333333,1,84000,1230,1.7083333333333333,6.477953910827637
2000,6,333.3333333333333,1,84000,1260,1.75,6.533348083496094
2000,6,333.3333333333333,1,84000,1290,1.7916666666666667,6.549865245819092
2000,6,333.3333333333333,1,84000,1320,1.8333333333333333,6.496957778930664
2000,6,333.3333333333333,1,84000,1350,1.875,6.437029838562012
2000,6,333.3333333333333,1,84000,1380,1.9166666666666667,6.446745872497559
2000,6,333.3333333333333,1,84000,1410,1.9583333333333333,6.165167808532715
2000,6,333.3333333333333,1,84000,1440,2.0,6.212599754333496
2000,6,333.3333333333333,1,84000,1470,2.0416666666666665,6.178109169006348
2000,6,333.3333333333333,1,84000,1500,2.0833333333333335,6.225892543792725
2000,6,333.3333333333333,1,84000,1530,2.125,6.053184509277344
2000,6,333.3333333333333,1,84000,1560,2.1666666666666665,5.898270606994629
2000,6,333.3333333333333,1,84000,1590,2.2083333333333335,5.629721641540527
2000,6,333.3333333333333,1,84000,1620,2.25,5.503744125366211
2000,6,333.3333333333333,1,84000,1650,2.2916666666666665,5.395120143890381
2000,6,333.3333333333333,1,84000,1680,2.3333333333333335,5.097001075744629
2000,6,333.3333333333333,1,84000,1710,2.375,4.7276482582092285
2000,6,333.3333333333333,1,84000,1740,2.4166666666666665,4.672358512878418
2000,6,333.3333333333333,1,84000,1770,2.4583333333333335,4.72649621963501
2000,6,333.3333333333333,1,84000,1800,2.5,4.711371898651123
2000,6,333.3333333333333,1,84000,1830,2.5416666666666665,4.7310638427734375
2000,6,333.3333333333333,1,84000,1860,2.5833333333333335,4.77046012878418
2000,6,333.3333333333333,1,84000,1890,2.625,4.565252304077148
2000,6,333.3333333333333,1,84000,1920,2.6666666666666665,4.499058723449707
2000,6,333.3333333333333,1,84000,1950,2.7083333333333335,4.508522033691406
2000,6,333.3333333333333,1,84000,1980,2.75,4.404136657714844
2000,6,333.3333333333333,1,84000,2010,2.7916666666666665,4.371038913726807
2000,6,333.3333333333333,1,84000,2040,2.8333333333333335,4.437217712402344
2000,6,333.3333333333333,1,84000,2070,2.875,4.490365505218506
2000,6,333.3333333333333,1,84000,2100,2.9166666666666665,4.421935558319092
2000,6,333.3333333333333,1,84000,2130,2.9583333333333335,4.29171085357666
2000,6,333.3333333333333,1,84000,2160,3.0,4.180425643920898
2000,6,333.3333333333333,1,84000,2190,3.0416666666666665,4.134774208068848
2000,6,333.3333333333333,1,84000,2220,3.0833333333333335,4.0306830406188965
2000,6,333.3333333333333,1,84000,2250,3.125,3.957319974899292
2000,6,333.3333333333333,1,84000,2280,3.1666666666666665,3.900400161743164
2000,6,333.3333333333333,1,84000,2310,3.2083333333333335,4.097733974456787
2000,6,333.3333333333333,1,84000,2340,3.25,4.077414512634277
2000,6,333.3333333333333,1,84000,2370,3.2916666666666665,4.04361629486084
2000,6,333.3333333333333,1,84000,2400,3.3333333333333335,3.9850575923919678
2000,6,333.3333333333333,1,84000,2430,3.375,3.9070985317230225
2000,6,333.3333333333333,1,84000,2460,3.4166666666666665,3.8184804916381836
