num_rso,num_sensors,rso_per_sensor,episode,target_reached,recovery_time_h,censored_time_h,initial_mean_u_km,final_mean_u_km
2000,6,333.3333333333333,0,0,,5.0,19.71692276000977,2.9668877124786377
2000,6,333.3333333333333,1,0,,5.0,20.07392883300781,2.7519423961639404
2000,6,333.3333333333333,2,0,,5.0,19.91414451599121,3.19504189491272
2000,6,333.3333333333333,3,0,,5.0,20.16722679138184,2.960411548614502
2000,6,333.3333333333333,4,0,,5.0,20.096628189086918,2.9579386711120605
2000,6,333.3333333333333,5,0,,5.0,19.953657150268555,3.1802680492401123
2000,12,166.66666666666666,0,1,0.5416666666666666,0.5416666666666666,19.71692276000977,0.0844204872846603
2000,12,166.66666666666666,1,1,0.5416666666666666,0.5416666666666666,20.07392883300781,0.084600493311882
2000,12,166.66666666666666,2,1,0.5416666666666666,0.5416666666666666,19.91414451599121,0.0845527499914169
2000,12,166.66666666666666,3,1,0.5416666666666666,0.5416666666666666,20.16722679138184,0.0845619514584541
2000,12,166.66666666666666,4,1,0.5416666666666666,0.5416666666666666,20.096628189086918,0.0846092104911804
2000,12,166.66666666666666,5,1,0.5416666666666666,0.5416666666666666,19.953657150268555,0.084666259586811
3000,6,500.0,0,0,,5.0,19.85264587402344,5.93211841583252
3000,6,500.0,1,0,,5.0,20.036903381347656,6.487270832061768
3000,6,500.0,2,0,,5.0,19.949281692504883,6.286296367645264
3000,6,500.0,3,0,,5.0,20.14867401123047,6.017143249511719
3000,6,500.0,4,0,,5.0,20.0920467376709,6.1189141273498535
3000,6,500.0,5,0,,5.0,20.057132720947266,6.394537925720215
3000,9,333.3333333333333,0,1,1.5833333333333333,1.5833333333333333,19.85264587402344,0.4338857531547546
3000,9,333.3333333333333,1,1,1.5833333333333333,1.5833333333333333,20.036903381347656,0.5139423608779907
3000,9,333.3333333333333,2,1,1.375,1.375,19.949281692504883,0.4147855639457702
3000,9,333.3333333333333,3,1,1.625,1.625,20.14867401123047,0.4884032309055328
3000,9,333.3333333333333,4,1,1.625,1.625,20.0920467376709,0.490947961807251
3000,9,333.3333333333333,5,1,1.625,1.625,20.057132720947266,0.454141765832901
3000,12,250.0,0,1,0.7916666666666666,0.7916666666666666,19.85264587402344,0.0932882577180862
3000,12,250.0,1,1,0.7916666666666666,0.7916666666666666,20.036903381347656,0.0933071002364158
3000,12,250.0,2,1,0.7916666666666666,0.7916666666666666,19.949281692504883,0.0932922959327697
3000,12,250.0,3,1,0.7916666666666666,0.7916666666666666,20.14867401123047,0.0935644954442977
3000,12,250.0,4,1,0.8333333333333334,0.8333333333333334,20.0920467376709,0.0932148844003677
3000,12,250.0,5,1,0.7916666666666666,0.7916666666666666,20.057132720947266,0.093259073793888
4000,9,444.44444444444446,0,0,,5.0,19.749778747558597,2.124839305877685
4000,9,444.44444444444446,1,0,,5.0,19.95510673522949,2.212876319885254
4000,9,444.44444444444446,2,0,,5.0,19.8588809967041,2.151083707809448
4000,9,444.44444444444446,3,0,,5.0,20.101791381835938,2.1155459880828857
4000,9,444.44444444444446,4,0,,5.0,20.089427947998047,2.0519940853118896
4000,9,444.44444444444446,5,0,,5.0,19.92569351196289,2.106985569000244
4000,12,333.3333333333333,0,1,1.0416666666666667,1.0416666666666667,19.749778747558597,0.1211707144975662
4000,12,333.3333333333333,1,1,1.0416666666666667,1.0416666666666667,19.95510673522949,0.169704258441925
4000,12,333.3333333333333,2,1,1.0416666666666667,1.0416666666666667,19.8588809967041,0.1442102193832397
4000,12,333.3333333333333,3,1,1.0833333333333333,1.0833333333333333,20.101791381835938,0.1700480580329895
4000,12,333.3333333333333,4,1,1.0833333333333333,1.0833333333333333,20.089427947998047,0.1521909236907959
4000,12,333.3333333333333,5,1,1.0416666666666667,1.0416666666666667,19.92569351196289,0.1314587146043777
4000,15,266.6666666666667,0,1,0.8333333333333334,0.8333333333333334,19.749778747558597,0.0948938578367233
4000,15,266.6666666666667,1,1,0.8333333333333334,0.8333333333333334,19.95510673522949,0.0949468240141868
4000,15,266.6666666666667,2,1,0.875,0.875,19.8588809967041,0.0949107930064201
4000,15,266.6666666666667,3,1,0.8333333333333334,0.8333333333333334,20.101791381835938,0.0951284617185592
4000,15,266.6666666666667,4,1,0.875,0.875,20.089427947998047,0.0949772745370864
4000,15,266.6666666666667,5,1,0.8333333333333334,0.8333333333333334,19.92569351196289,0.0947851538658142
5000,9,555.5555555555555,0,0,,5.0,19.773012161254883,8.621541023254395
5000,9,555.5555555555555,1,0,,5.0,19.92640686035156,8.74330997467041
5000,9,555.5555555555555,2,0,,5.0,19.840547561645508,8.929635047912598
5000,9,555.5555555555555,3,0,,5.0,20.06141662597656,8.910429000854492
5000,9,555.5555555555555,4,0,,5.0,20.08378791809082,8.740620613098145
5000,9,555.5555555555555,5,0,,5.0,19.90447425842285,8.525725364685059
5000,12,416.6666666666667,0,1,1.75,1.75,19.773012161254883,0.6740283370018005
5000,12,416.6666666666667,1,1,1.7916666666666667,1.7916666666666667,19.92640686035156,0.7807625532150269
5000,12,416.6666666666667,2,1,2.0416666666666665,2.0416666666666665,19.840547561645508,0.8142646551132202
5000,12,416.6666666666667,3,1,1.8333333333333333,1.8333333333333333,20.06141662597656,0.7807889580726624
5000,12,416.6666666666667,4,1,1.8333333333333333,1.8333333333333333,20.08378791809082,0.8833853602409363
5000,12,416.6666666666667,5,1,1.75,1.75,19.90447425842285,0.7183143496513367
5000,15,333.3333333333333,0,1,1.0416666666666667,1.0416666666666667,19.773012161254883,0.1250281780958175
