num_rso,num_sensors,rso_per_sensor,episodes,reach_fraction,median_recovery_time_h,p25_recovery_time_h,p75_recovery_time_h,mean_final_u_km,ci95_final_u_km
2000,6,333.3333333333333,6,0.0,,,,3.0020817120869956,0.13219823854492693
2000,9,222.22222222222223,4,1.0,0.8541666666666667,0.8229166666666667,0.8854166666666666,0.15893423184752456,0.03363803470428718
2000,12,166.66666666666666,6,1.0,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.08456852535406745,6.64056939140298e-05
3000,6,500.0,6,0.0,,,,6.20604681968689,0.1750772189568385
3000,9,333.3333333333333,6,1.0,1.6041666666666665,1.5833333333333333,1.625,0.4660177727540334,0.030401351550581983
3000,12,250.0,6,1.0,0.7916666666666666,0.7916666666666666,0.7916666666666666,0.09332101792097085,9.895870867110891e-05
4000,9,444.44444444444446,6,0.0,,,,2.1272208293279014,0.04251709774607856
4000,12,333.3333333333333,6,1.0,1.0416666666666667,1.0416666666666667,1.0729166666666665,0.14813048144181565,0.015932925500986232
4000,15,266.6666666666667,6,1.0,0.8333333333333334,0.8333333333333334,0.8645833333333334,0.09494039416313167,9.046648781175414e-05
5000,9,555.5555555555555,6,0.0,,,,8.74521017074585,0.12641727018066473
5000,12,416.6666666666667,6,1.0,1.8125,1.7604166666666667,1.8333333333333333,0.7752573688824972,0.05854241529725261
5000,15,333.3333333333333,6,1.0,1.0416666666666667,1.0416666666666667,1.0416666666666667,0.12870212147633228,0.008349712096136289
5000,18,277.77777777777777,6,1.0,0.875,0.875,0.875,0.09712529554963108,0.0017252327188999371
7500,12,625.0,6,0.0,,,,14.109441121419271,0.1612664687222682
7500,15,500.0,2,0.0,,,,4.731984853744507,0.034670419692993164
7500,18,416.6666666666667,2,1.0,1.7708333333333335,1.7604166666666667,1.78125,0.7195571660995483,0.024415745735168456
10000,18,555.5555555555555,2,0.0,,,,9.318922519683838,0.2713996696472168
10000,24,416.6666666666667,2,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.5705250203609467,0.026635364294052125
15000,30,500.0,2,0.0,,,,4.827491521835327,0.17944476127624512
15000,36,416.6666666666667,2,1.0,1.7916666666666667,1.7916666666666667,1.7916666666666667,0.6594577133655548,0.060292559862136844
20000,12,1666.6666666666667,2,0.0,,,,42.28947639465332,0.23621101379394527
20000,42,476.1904761904762,2,0.0,,,,4.043191909790039,0.039780349731445314
20000,48,416.6666666666667,4,1.0,1.9166666666666667,1.9166666666666667,1.9166666666666667,0.9103199243545532,0.032108383579180284
