num_rso,minimum_tested_sensors,capacity_rso_per_sensor,criterion_met
2000,9,222.22222222222223,1
3000,9,333.3333333333333,1
4000,12,333.3333333333333,1
5000,12,416.6666666666667,1
7500,18,416.6666666666667,1
10000,24,416.6666666666667,1
15000,36,416.6666666666667,1
20000,48,416.6666666666667,1
