family,family_label,x_label,x_value,point_label,is_id,method,method_label,num_rso,n,mean_uncertainty_mean,mean_uncertainty_std,mean_uncertainty_ci95,max_uncertainty_mean,max_uncertainty_std,max_uncertainty_ci95,p95_uncertainty_mean,p95_uncertainty_std,p95_uncertainty_ci95,fine_custody_mean,fine_custody_std,fine_custody_ci95
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,expected_info_gain,Expected information gain,30,24,0.8927190415561199,0.7458500213692818,0.2984021562431161,5.932980641722679,11.325777155996525,4.531254578868049,2.5921143741657295,3.5535968216875338,1.4217348309027178,0.1277777777777778,0.059520358768160156,0.02381310302059924
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,30,24,0.7902335512141386,0.25002438806204147,0.10003058842058987,3.721453512708346,2.2676454420057097,0.9072471275754621,2.450984405229487,1.0961536603546733,0.4385528007669914,0.15416666666666665,0.0459073841849578,0.01836677889091327
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,30,24,0.4133576961855094,0.07142968176044512,0.02857782455773791,1.4396820863087971,0.6849499626650326,0.27403705828506064,0.9408277392387383,0.295762105186387,0.11832948634980903,0.21944444444444444,0.06363897771572145,0.025460893782124936
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,45,24,1.5251926556229591,1.0311968097292832,0.41256464800969395,14.45115247865518,21.79258428740654,8.718849574520897,4.131553833683331,3.7812791546054547,1.5128267356216318,0.075,0.03975907043974944,0.01590694108671082
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,45,24,2.448622152209282,2.562733475232237,1.0253069289745138,18.592576096455257,29.62673720904802,11.853163521263657,7.043135211865104,7.822347077000133,3.1295906251682943,0.05740740740740741,0.03136998347629333,0.012550607283554855
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,pointer_lstm,Attention-LSTM pointer,45,24,0.5541085166235765,0.17389090738747345,0.06957085235478305,3.3266221582889557,4.565193925299879,1.8264579633268945,1.241314836343129,0.3388800737139285,0.1355802665506596,0.17037037037037037,0.04280385887494016,0.01712511016673176
catalogue_size,Catalogue size,Number of RSOs,60.0,60,0,expected_info_gain,Expected information gain,60,24,2.8135442907611528,2.2954862520474433,0.9183857714180356,27.226502964893978,34.465163108318244,13.788937041138542,9.245441408207004,9.760977022689046,3.9052041391144536,0.04305555555555555,0.03143764116156845,0.01257767599521816
catalogue_size,Catalogue size,Number of RSOs,60.0,60,0,flat_lstm,Flat LSTM,60,24,4.453818375865619,5.172886843969731,2.0695857665973776,30.820927619934082,37.88055152247458,15.155376992860964,17.599720170597234,27.610508788535807,11.046504151522065,0.03472222222222222,0.026428586972060665,0.010573636941704902
catalogue_size,Catalogue size,Number of RSOs,60.0,60,0,pointer_lstm,Attention-LSTM pointer,60,24,0.6996785327792168,0.22479931564600647,0.08993845758372991,4.458709354201953,6.628756107887264,2.6520547819679288,1.6120514318346968,0.4973437880258097,0.19897895620967151,0.125,0.036115755925730755,0.014449311703179918
catalogue_size,Catalogue size,Number of RSOs,75.0,75,0,expected_info_gain,Expected information gain,75,24,4.833374162515004,4.820121300483389,1.9284501551357798,39.927508701880775,39.986749861350546,15.998031826660423,19.241434343655893,24.41920751448246,9.769717727824386,0.03,0.020897726571218477,0.008360831924335566
