family,x_value,method,n,ratio,ci95_low,ci95_high
catalogue_size,30.0,pointer_lstm,24,1.0,1.0,1.0
catalogue_size,45.0,pointer_lstm,24,0.7518570541337825,0.5542351280615673,1.0199444265249356
catalogue_size,60.0,pointer_lstm,24,0.5558210501057219,0.4074323535302531,0.7582535777137002
catalogue_size,75.0,pointer_lstm,24,0.46001412206937303,0.2986041191891313,0.7086740567340386
catalogue_size,90.0,pointer_lstm,24,0.316707336967071,0.19205264203943753,0.5222710618486403
catalogue_size,105.0,pointer_lstm,24,0.2668936290172118,0.1823226277397307,0.3906931909278015
catalogue_size,120.0,pointer_lstm,24,0.2111049024255934,0.14464155345316448,0.30810841534932587
catalogue_size,30.0,flat_lstm,24,1.0,1.0,1.0
catalogue_size,45.0,flat_lstm,24,1.4516248091280828,0.9602542663111084,2.194433974837906
catalogue_size,60.0,flat_lstm,24,1.2962609264312779,0.8683036650737387,1.9351437256109933
catalogue_size,75.0,flat_lstm,24,2.055255952576155,1.1210302130456669,3.7680313888450425
catalogue_size,90.0,flat_lstm,24,2.2659112408498787,1.3187759699096273,3.8932721467177496
catalogue_size,105.0,flat_lstm,24,2.7265634944746933,1.7305472732844367,4.295836701006524
catalogue_size,120.0,flat_lstm,24,2.3976137210343964,1.6632251336598567,3.4562678491052856
inclination_shift,-30.0,pointer_lstm,24,1.4065328779313615,1.0715067756859982,1.846310990833737
inclination_shift,-20.0,pointer_lstm,24,1.1387886381806642,0.9434877685021704,1.374516560514784
inclination_shift,-10.0,pointer_lstm,24,1.0179017869389493,0.8740495345082923,1.185429437287431
inclination_shift,0.0,pointer_lstm,24,1.0,1.0,1.0
inclination_shift,10.0,pointer_lstm,24,1.1992019309862598,1.076798469292534,1.335519423821255
inclination_shift,20.0,pointer_lstm,24,1.231517738779834,1.1005359191178983,1.378088542666567
inclination_shift,30.0,pointer_lstm,24,1.5839155729714491,1.3642241725016195,1.8389855515468778
inclination_shift,40.0,pointer_lstm,24,1.7844399106354434,1.5012329842526493,2.1210736961350576
inclination_shift,50.0,pointer_lstm,24,2.1996380134920024,1.9592029398934343,2.4695794865754004
inclination_shift,60.0,pointer_lstm,24,2.4189595742888885,2.0803731356976582,2.812651885202128
inclination_shift,70.0,pointer_lstm,24,2.6555420355168073,2.349420218922273,3.001550529616026
inclination_shift,80.0,pointer_lstm,24,2.9405551860601022,2.380389595241228,3.632541840861429
inclination_shift,90.0,pointer_lstm,24,3.52292392416711,3.1692565117352713,3.9160582078203463
inclination_shift,-30.0,flat_lstm,24,1.0324266643213214,0.8757807195469529,1.2170909834062684
inclination_shift,-20.0,flat_lstm,24,1.0143392618713718,0.8316362809545137,1.237180437814538
inclination_shift,-10.0,flat_lstm,24,0.9646284337397824,0.845797881170239,1.1001541099769871
inclination_shift,0.0,flat_lstm,24,1.0,1.0,1.0
inclination_shift,10.0,flat_lstm,24,1.0037177505877575,0.8672359197586759,1.1616785004999433
inclination_shift,20.0,flat_lstm,24,1.0350828085716317,0.8780132647346804,1.2202508363290998
inclination_shift,30.0,flat_lstm,24,1.1064479992114276,0.9236486819649024,1.3254251306401914
inclination_shift,40.0,flat_lstm,24,1.2629521480265682,0.975521368172843,1.6350724650885473
inclination_shift,50.0,flat_lstm,24,1.1776493438102433,0.9371726488556638,1.4798318950837093
inclination_shift,60.0,flat_lstm,24,1.2009389308282616,1.0053600501194593,1.4345649754111038
inclination_shift,70.0,flat_lstm,24,1.2116241112596582,0.9285712583529535,1.5809588911783348
