condition,episode,step,time_hours,agent,sensor_type,sensor_type_label,rso,rso_x_km,rso_y_km,rso_z_km,geocentric_radius_km,geocentric_altitude_km,geocentric_latitude_deg,geocentric_longitude_deg,azimuth_deg,elevation_deg,slant_range_km,information_gain,preferred_range,in_crossover_band
correct,3,1,0.001388888888888889,1,0,Type A (near),98,6993.95361328125,457.73504638671875,580.539306640625,7032.9179153446175,661.9179153446175,4.734925531667615,3.744511086419351,340.89175161985855,81.7844930182581,668.1263489666557,0.9728580713272095,True,False
correct,4,1,0.001388888888888889,2,1,Type B (far),111,7002.08251953125,546.8269653320312,-530.295654296875,7043.393558598404,672.3935585984036,-4.317873390959581,4.465445170273256,124.41801514411019,84.1242820434121,675.6033175811948,0.8071315884590149,False,False
correct,5,1,0.001388888888888889,3,1,Type B (far),133,7072.353515625,-410.48046875,491.509521484375,7101.285804339121,730.2858043391207,3.968852342443337,356.67827086261246,92.61205537057366,83.43799799429026,734.6020334342768,0.8066081404685974,False,False
correct,1,2,0.002777777777777778,2,1,Type B (far),81,7119.76513671875,383.29638671875,-534.4462890625,7150.077241400969,779.0772414009689,-4.2866813735247655,3.081574340651216,252.58902670574406,81.24872741159247,787.2388077709484,0.834040105342865,False,False
correct,4,2,0.002777777777777778,2,1,Type B (far),111,7003.97021484375,557.2046508789062,-494.170166015625,7043.456534000859,672.4565340008594,-4.023187376328187,4.548616777983481,92.44529434296915,84.27903123613682,675.4991216606146,0.27894601225852966,False,False
correct,5,2,0.002777777777777778,3,1,Type B (far),133,7069.994140625,-403.278564453125,528.14599609375,7101.154057067701,730.1540570677007,4.265293236688425,356.7353369468312,70.08777708766888,82.45210301747782,735.872106751738,0.2824970781803131,False,False
correct,0,3,0.004166666666666667,1,0,Type A (near),14,7095.2412109375,563.1201171875,349.805908203125,7126.143156096496,755.1431560964957,2.8136482137726566,4.537818532472098,155.63495925217325,77.86735918313241,770.5131789688522,0.9701651930809021,True,False
correct,1,3,0.004166666666666667,2,1,Type B (far),81,7121.9501953125,391.4261474609375,-498.081787109375,7150.0681451352575,779.0681451352575,-3.994523567605612,3.1458413711035704,270.3384567662614,82.22019235889036,785.5074844010012,0.27659618854522705,False,False
correct,4,3,0.004166666666666667,2,1,Type B (far),111,7005.658203125,567.5663452148438,-458.03125,7043.519790645136,672.5197906451358,-3.7285035821887926,4.631725903916326,66.71763413831295,82.84460719093904,677.2891942052576,0.17816992104053497,False,False
correct,5,3,0.004166666666666667,3,1,Type B (far),133,7067.4375,-396.06561279296875,564.7666015625,7101.021201227593,730.0212012275933,4.561731835404174,356.79244756160904,54.56421852397135,80.64057156539995,738.8402306608486,0.17974968254566193,False,False
