scenario,head,normalized_rank,attention_mean,ci95,n_samples
id_2000_k60,1,0.0,1.0041465184877854,0.00030723303297989135,3552
id_2000_k60,1,0.01694915254237288,1.0034495071583502,0.00030391308723380265,3552
id_2000_k60,1,0.03389830508474576,1.0029314958935116,0.00030507596615281235,3552
id_2000_k60,1,0.05084745762711865,1.003003181050624,0.0003051597850504424,3552
id_2000_k60,1,0.06779661016949153,1.0023735941530347,0.0003071759561098885,3552
id_2000_k60,1,0.0847457627118644,1.0024409935314644,0.00029798193030057595,3552
id_2000_k60,1,0.1016949152542373,1.0020213323301292,0.00029790002609392886,3552
id_2000_k60,1,0.11864406779661017,1.0017471963724307,0.0003054719282586876,3552
id_2000_k60,1,0.13559322033898305,1.0017144676163658,0.00030262675523353127,3552
id_2000_k60,1,0.15254237288135594,1.0014946891313738,0.0003022135014450512,3552
id_2000_k60,1,0.1694915254237288,1.001276010899125,0.0003074357840988147,3552
id_2000_k60,1,0.1864406779661017,1.0013300118347008,0.0003051553060666107,3552
id_2000_k60,1,0.2033898305084746,1.0008222478701994,0.00030164574666444356,3552
id_2000_k60,1,0.22033898305084745,1.001168182606364,0.00030387927038625224,3552
id_2000_k60,1,0.23728813559322035,1.0008019117789495,0.000310557463848579,3552
id_2000_k60,1,0.2542372881355932,1.000631144589132,0.00030293673982316173,3552
id_2000_k60,1,0.2711864406779661,1.0005424026030678,0.00030580292238634334,3552
id_2000_k60,1,0.288135593220339,1.0004023773478226,0.0003104245252029277,3552
id_2000_k60,1,0.3050847457627119,1.000296689653853,0.0003084814627659796,3552
id_2000_k60,1,0.3220338983050847,1.000538719532726,0.00031133422783217616,3552
id_2000_k60,1,0.3389830508474576,1.0002262783446558,0.00030955113862406804,3552
id_2000_k60,1,0.3559322033898305,1.000153993650734,0.00030968769953311254,3552
id_2000_k60,1,0.3728813559322034,1.000187594913416,0.00030320679815907956,3552
id_2000_k60,1,0.3898305084745763,0.9998861317363408,0.00031270589551525785,3552
id_2000_k60,1,0.4067796610169492,0.9998157948322661,0.0003059442809320659,3552
id_2000_k60,1,0.423728813559322,0.9999298432019649,0.0003085133948171055,3552
id_2000_k60,1,0.4406779661016949,0.9998851319825327,0.0003184270222494222,3552
id_2000_k60,1,0.4576271186440678,0.999428443577107,0.0003147125134129672,3552
id_2000_k60,1,0.4745762711864407,0.9998345081736376,0.0003086433417662558,3552
id_2000_k60,1,0.4915254237288136,0.9996762705446632,0.00030990876128138576,3552
id_2000_k60,1,0.5084745762711864,0.9996047542841585,0.00031420595844957656,3552
id_2000_k60,1,0.5254237288135594,0.9995796314969256,0.000318828783264579,3552
id_2000_k60,1,0.5423728813559322,0.9996319248064144,0.0003138894206550344,3552
id_2000_k60,1,0.559322033898305,0.9991303877821108,0.00031619908589656636,3552
id_2000_k60,1,0.576271186440678,0.9990969623464185,0.00031182166181493873,3552
id_2000_k60,1,0.5932203389830508,0.9990999667091413,0.0003193307601277598,3552
id_2000_k60,1,0.6101694915254238,0.9993485365029391,0.0003186657372709462,3552
id_2000_k60,1,0.6271186440677966,0.9993817265908997,0.00031365874311387265,3552
id_2000_k60,1,0.6440677966101694,0.9991684002248017,0.0003192188280399546,3552
id_2000_k60,1,0.6610169491525424,0.9989552240617372,0.0003158747663334442,3552
id_2000_k60,1,0.6779661016949152,0.99895857608466,0.00031863996435082387,3552
id_2000_k60,1,0.6949152542372882,0.9991665075927436,0.000311504160687689,3552
id_2000_k60,1,0.711864406779661,0.9990997671544015,0.0003238961848761596,3552
id_2000_k60,1,0.7288135593220338,0.9988808024439726,0.0003264176036865412,3552
id_2000_k60,1,0.7457627118644068,0.9989596061106469,0.0003180366297151167,3552
id_2000_k60,1,0.7627118644067796,0.9989718652691122,0.00032725218550979946,3552
id_2000_k60,1,0.7796610169491526,0.9989574910854703,0.0003250400174602226,3552
id_2000_k60,1,0.7966101694915254,0.9989219253194762,0.000327347261628397,3552
id_2000_k60,1,0.8135593220338984,0.9989150033609288,0.0003282320065133935,3552
id_2000_k60,1,0.8305084745762712,0.9984563285031834,0.0003226792324444115,3552
id_2000_k60,1,0.847457627118644,0.9985275934072765,0.0003305023024607473,3552
id_2000_k60,1,0.864406779661017,0.9990661206176957,0.00032144838312733195,3552
id_2000_k60,1,0.8813559322033898,0.998796457256954,0.00032983449764838917,3552
id_2000_k60,1,0.8983050847457628,0.9988329785599096,0.0003298089218194064,3552
id_2000_k60,1,0.9152542372881356,0.9988112272275192,0.0003266457594887879,3552
id_2000_k60,1,0.9322033898305084,0.998734666084921,0.0003370586301134787,3552
id_2000_k60,1,0.9491525423728814,0.9982649194630416,0.000336524602145781,3552
id_2000_k60,1,0.9661016949152542,0.9982371932180883,0.00033239184297900525,3552
id_2000_k60,1,0.9830508474576272,0.9983617363682201,0.00033947588658729083,3552
id_2000_k60,1,1.0,0.9979251014353993,0.00032911437889767255,3552
id_2000_k60,2,0.0,1.0001425622618414,0.001062023842518202,3552
id_2000_k60,2,0.01694915254237288,0.9990606653999101,0.0010312838380382536,3552
id_2000_k60,2,0.03389830508474576,0.9976887379244372,0.0010394908356993744,3552
id_2000_k60,2,0.05084745762711865,0.9975476962858224,0.0010276711269153012,3552
id_2000_k60,2,0.06779661016949153,0.9982348085960021,0.0010177676408435828,3552
id_2000_k60,2,0.0847457627118644,0.9979892787062101,0.0010156697180881463,3552
id_2000_k60,2,0.1016949152542373,0.9976621068477094,0.0010053903077885341,3552
id_2000_k60,2,0.11864406779661017,0.9981391002331768,0.0009835857267370257,3552
id_2000_k60,2,0.13559322033898305,0.9976494767879313,0.0010067618325281923,3552
id_2000_k60,2,0.15254237288135594,0.9980284585239919,0.001008721059377665,3552
id_2000_k60,2,0.1694915254237288,0.9975879053409035,0.0009830952556174038,3552
id_2000_k60,2,0.1864406779661017,0.9975867499639323,0.0009898953049794655,3552
id_2000_k60,2,0.2033898305084746,0.9986391898815159,0.0010077980668053246,3552
id_2000_k60,2,0.22033898305084745,0.9981159761816532,0.0009796748998380002,3552
id_2000_k60,2,0.23728813559322035,0.999500966085507,0.0009962575908849874,3552
id_2000_k60,2,0.2542372881355932,0.999475193117653,0.0009921680375110664,3552
