scenario,head,feature,spearman_rho,n_tokens
team9_2000_k60,1,rel_speed,0.058589566115017644,159840
team9_2000_k60,2,uncertainty,-0.014907251897978452,159840
team9_2000_k60,2,age,-0.041735706409484,159840
team9_2000_k60,2,visibility,0.0561196363100007,159840
team9_2000_k60,2,quality,-0.17811981183201564,159840
team9_2000_k60,2,slew,0.23353255023884606,159840
team9_2000_k60,2,rel_speed,0.01508613506802319,159840
team9_2000_k60,3,uncertainty,-0.03356465589744003,159840
team9_2000_k60,3,age,-0.06948535349638586,159840
team9_2000_k60,3,visibility,-0.1264368008284386,159840
team9_2000_k60,3,quality,-0.506194738443524,159840
team9_2000_k60,3,slew,0.4544198835798001,159840
team9_2000_k60,3,rel_speed,-0.02829484100452564,159840
team9_2000_k60,4,uncertainty,0.03637769516133167,159840
team9_2000_k60,4,age,0.12140609136252209,159840
team9_2000_k60,4,visibility,-0.06850423416357707,159840
team9_2000_k60,4,quality,-0.3294037368707436,159840
team9_2000_k60,4,slew,0.2898720119795164,159840
team9_2000_k60,4,rel_speed,-0.02748315689721876,159840
