representation,scenario,episode_id,sensor_id,time_h,mean_u_km,valid_k,encoder_umap_1,encoder_umap_2,recurrent_umap_1,recurrent_umap_2,visible_fraction,latent_knn_distance,umap_knn_distance,latent_cross_scenario_fraction,umap_cross_scenario_fraction,projection_mismatch,latent_neighbor_scenario,umap_neighbor_scenario,high_dimensional_outlier,projected_outlier,projection_intrusion,audit_priority
encoder,id_2000_k15,5,1,4.305555555555555,0.08793822,15,13.429201,5.5293865,2.5619106,7.2445087,0.0,0.14230038,0.08482949173708129,0.3333333333333333,0.8666666666666667,0.5333333333333334,id_2000_k15,scale_5000_k60,False,False,True,0.9241616509028375
encoder,id_2000_k15,3,11,4.722222222222222,0.08807255,15,9.84523,15.3727665,-2.118434,8.66294,0.0,0.14228131,0.12011582960818627,0.0,0.6,0.6,id_2000_k15,id_2000_k60,False,False,True,0.9239896818572657
encoder,scale_5000_k60,1,3,1.6666666666666667,1.6255263,60,13.414342,5.7174687,2.1308198,7.323812,0.0,0.14220981,0.0925687103666558,0.26666666666666666,0.6,0.3333333333333333,scale_5000_k60,id_2000_k15,False,False,True,0.9238177128116939
encoder,id_2000_k15,6,2,4.027777777777778,0.08849824,15,13.435948,4.650146,1.7660717,5.4010024,0.0,0.112132564,0.06261842246065026,0.3333333333333333,1.0,0.6666666666666667,id_2000_k15,team9_2000_k60,False,False,True,0.923731728288908
recurrent,retrograde_2000_k60,1,4,3.611111111111111,0.0853341,60,5.876485,12.181415,-3.7683332,5.8099856,0.0,0.034062862,0.10024442923603179,0.26666666666666666,0.9333333333333333,0.6666666666666667,retrograde_2000_k60,id_2000_k60,False,False,True,0.923731728288908
encoder,id_2000_k15,5,1,2.5,0.09418185,15,13.602399,5.3243074,2.6001012,7.119296,0.0,0.11237237,0.10461655337752067,0.26666666666666666,0.9333333333333333,0.6666666666666667,id_2000_k15,scale_5000_k60,False,False,True,0.923731728288908
encoder,team9_2000_k60,4,3,0.5555555555555556,4.2415695,60,8.356754,0.17427735,4.6168313,6.7409368,0.0,0.11252166,0.07912548977543964,0.2,0.8666666666666667,0.6666666666666667,team9_2000_k60,retrograde_2000_k60,False,False,True,0.923731728288908
recurrent,retrograde_2000_k60,2,10,3.888888888888889,0.08539289,60,15.284558,12.0293665,-0.2873703,0.7305669,0.016666666666666666,0.0243386,0.08102678352532762,0.2,0.8666666666666667,0.6666666666666667,retrograde_2000_k60,team9_2000_k60,False,False,True,0.923731728288908
encoder,id_2000_k15,0,6,1.805555555555556,0.113053456,15,11.574954,16.098398,1.3722407,8.0363865,0.0,0.08544682,0.06619212919634107,0.13333333333333333,0.8,0.6666666666666667,id_2000_k15,retrograde_2000_k60,False,False,True,0.923731728288908
recurrent,id_2000_k15,5,5,4.444444444444445,0.08820584,15,10.970373,13.721855,1.3556459,7.4858274,0.0,0.010638805,0.1291254526015088,0.26666666666666666,0.9333333333333333,0.6666666666666667,id_2000_k15,scale_5000_k60,False,False,True,0.923731728288908
