scenario,head,feature,spearman_rho,n_tokens,association_method
team9_2000_k60,1,quality,-0.15923411746254,159840,spearman
team9_2000_k60,1,slew,0.103023248364542,159840,spearman
team9_2000_k60,1,relative_speed,0.0585895661150176,159840,spearman
team9_2000_k60,2,uncertainty,-0.0149072518979784,159840,spearman
team9_2000_k60,2,age,-0.041735706409484,159840,spearman
team9_2000_k60,2,visibility,0.047593725886631404,159840,point_biserial
team9_2000_k60,2,quality,-0.1781198118320156,159840,spearman
team9_2000_k60,2,slew,0.233532550238846,159840,spearman
team9_2000_k60,2,relative_speed,0.0150861350680231,159840,spearman
team9_2000_k60,3,uncertainty,-0.03356465589744,159840,spearman
team9_2000_k60,3,age,-0.0694853534963858,159840,spearman
team9_2000_k60,3,visibility,-0.1399125178588261,159840,point_biserial
team9_2000_k60,3,quality,-0.506194738443524,159840,spearman
team9_2000_k60,3,slew,0.4544198835798001,159840,spearman
team9_2000_k60,3,relative_speed,-0.0282948410045256,159840,spearman
team9_2000_k60,4,uncertainty,0.0363776951613316,159840,spearman
team9_2000_k60,4,age,0.121406091362522,159840,spearman
team9_2000_k60,4,visibility,-0.06479970689051848,159840,point_biserial
team9_2000_k60,4,quality,-0.3294037368707436,159840,spearman
team9_2000_k60,4,slew,0.2898720119795164,159840,spearman
team9_2000_k60,4,relative_speed,-0.0274831568972187,159840,spearman
