scenario,head,entity,attention_mass,attention_mass_ci95,uniform_mass,uniform_enrichment,num_entity_tokens,num_total_tokens,n_samples
id_2000_k60,1,Self,0.013657285296725243,3.7987039613062935e-06,0.013888888888888888,0.9833245413642175,1,72,3552
id_2000_k60,1,Teammates,0.14473899248735728,6.97799516316991e-05,0.1527777777777778,0.9473824962808839,11,72,3552
id_2000_k60,1,RSOs,0.8416037219198974,7.164117805412331e-05,0.8333333333333334,1.0099244663038769,60,72,3552
id_2000_k60,2,Self,0.013073123489120589,1.1754160728328614e-05,0.013888888888888888,0.9412648912166824,1,72,3552
id_2000_k60,2,Teammates,0.12938094039674145,0.00016187089737257379,0.1527777777777778,0.8468570644150348,11,72,3552
id_2000_k60,2,RSOs,0.8575459359431857,0.00017167481856945728,0.8333333333333334,1.0290551231318228,60,72,3552
id_2000_k60,3,Self,0.014102421901010498,5.491229318775689e-06,0.013888888888888888,1.015374376872756,1,72,3552
id_2000_k60,3,Teammates,0.15154448253110991,5.580113832715354e-05,0.1527777777777778,0.9919275220218102,11,72,3552
id_2000_k60,3,RSOs,0.834353096262963,5.8550914183525253e-05,0.8333333333333334,1.0012237155155554,60,72,3552
id_2000_k60,4,Self,0.013348799983620527,1.40547377349416e-05,0.013888888888888888,0.9611135988206779,1,72,3552
id_2000_k60,4,Teammates,0.144767170931372,0.00019337144629915338,0.1527777777777778,0.947566937005344,11,72,3552
id_2000_k60,4,RSOs,0.8418840298613718,0.00020652061159561247,0.8333333333333334,1.010260835833646,60,72,3552
scale_5000_k60,1,Self,0.013605153572489717,3.6827520553372207e-06,0.013888888888888888,0.9795710572192596,1,72,3552
scale_5000_k60,1,Teammates,0.14444458269019117,7.078283702361455e-05,0.1527777777777778,0.9454554503357967,11,72,3552
scale_5000_k60,1,RSOs,0.8419502638783809,7.281319566336863e-05,0.8333333333333334,1.010340316654057,60,72,3552
scale_5000_k60,2,Self,0.013101763127377961,1.2248792559210901e-05,0.013888888888888888,0.9433269451712133,1,72,3552
scale_5000_k60,2,Teammates,0.12999466840421092,0.00016668461992772185,0.1527777777777778,0.8508741931911987,11,72,3552
scale_5000_k60,2,RSOs,0.8569035679940973,0.00017696337656460784,0.8333333333333334,1.0282842815929167,60,72,3552
scale_5000_k60,3,Self,0.014217256943051293,7.342106436455874e-06,0.013888888888888888,1.0236424998996931,1,72,3552
scale_5000_k60,3,Teammates,0.15272231802747055,7.171093679012197e-05,0.1527777777777778,0.9996369907252617,11,72,3552
scale_5000_k60,3,RSOs,0.8330604254796699,7.691002026719261e-05,0.8333333333333334,0.9996725105756038,60,72,3552
scale_5000_k60,4,Self,0.01323922447884363,1.580534711997338e-05,0.013888888888888888,0.9532241624767415,1,72,3552
scale_5000_k60,4,Teammates,0.1439614561805921,0.00020506428499355745,0.1527777777777778,0.9422931677275119,11,72,3552
scale_5000_k60,4,RSOs,0.8427993189711291,0.00021992624560720464,0.8333333333333334,1.011359182765355,60,72,3552
id_2000_k15,1,Self,0.037006805727451304,9.302885960368689e-06,0.037037037037037035,0.9991837546411853,1,27,3552
id_2000_k15,1,Teammates,0.39313638165828074,0.00013602693951615024,0.4074074074074074,0.9649711186157801,11,27,3552
id_2000_k15,1,RSOs,0.5698568134291752,0.00013590872426360418,0.5555555555555556,1.0257422641725151,15,27,3552
id_2000_k15,2,Self,0.03657231798924103,2.4660753504583636e-05,0.037037037037037035,0.9874525857095079,1,27,3552
id_2000_k15,2,Teammates,0.36385330954684064,0.0003296673545994926,0.4074074074074074,0.893094487069518,11,27,3552
id_2000_k15,2,RSOs,0.5995743729778238,0.00034503905773180545,0.5555555555555556,1.0792338713600829,15,27,3552
id_2000_k15,3,Self,0.03768827581593582,1.3683254879578485e-05,0.037037037037037035,1.0175834470302672,1,27,3552
id_2000_k15,3,Teammates,0.4055305632703879,0.00010965455046510409,0.4074074074074074,0.9953932007545885,11,27,3552
id_2000_k15,3,RSOs,0.556781161106653,0.00011345423365870977,0.5555555555555556,1.0022060899919754,15,27,3552
id_2000_k15,4,Self,0.03609931943224961,2.6405145564713903e-05,0.037037037037037035,0.9746816246707395,1,27,3552
id_2000_k15,4,Teammates,0.39294992012248653,0.00036007270245224846,0.4074074074074074,0.9645134403006488,11,27,3552
id_2000_k15,4,RSOs,0.5709507613031714,0.00038201962357627454,0.5555555555555556,1.0277113703457084,15,27,3552
retrograde_2000_k60,1,Self,0.013693819683819154,6.195327263168045e-06,0.013888888888888888,0.9859550172349791,1,72,3552
retrograde_2000_k60,1,Teammates,0.14520983832997378,7.134514065827336e-05,0.1527777777777778,0.9504643963416465,11,72,3552
retrograde_2000_k60,1,RSOs,0.8410963409890732,7.519747872229781e-05,0.8333333333333334,1.0093156091868878,60,72,3552
retrograde_2000_k60,2,Self,0.013076261512626818,1.3053005007409093e-05,0.013888888888888888,0.9414908289091309,1,72,3552
retrograde_2000_k60,2,Teammates,0.12975980060149891,0.00017533218263499797,0.1527777777777778,0.8493368766643564,11,72,3552
