method,access_mode,num_rso,step,meanU_mean,meanU_std,n_episodes
random_feasible,topk,2000,50,18.923146963119507,0.1966509767710067,48
random_feasible,topk,2000,100,17.395772298177082,0.2213158078256661,48
random_feasible,topk,2000,150,15.419946471850077,0.258316570984917,48
random_feasible,topk,2000,200,15.18638664484024,0.2772362778866588,48
random_feasible,topk,2000,250,17.601858615875244,0.3970373433926835,48
random_feasible,topk,2000,300,19.790399193763733,0.5426300761348045,48
random_feasible,topk,2000,350,20.938518444697063,0.7399142193936172,48
random_feasible,topk,2000,400,20.91529854138692,0.8310064374056887,48
random_feasible,topk,2000,450,20.675355513890583,0.795135254696592,48
random_feasible,topk,2000,500,21.29067937533061,0.6739770352425077,48
random_feasible,topk,2000,550,22.23845203717549,0.7599045197245788,48
random_feasible,topk,2000,600,23.032401998837788,0.8235173840882947,48
random_feasible,topk,2000,650,23.352025866508484,0.927757410561192,48
random_feasible,topk,2000,700,22.95510979493459,1.1144010076721085,48
random_feasible,topk,2000,750,21.998204191525776,1.2531603290191224,48
random_feasible,topk,2000,800,20.595959504445396,1.3715458321881102,48
random_feasible,topk,2000,850,19.004242320855457,1.2620005527907794,48
random_feasible,topk,2000,900,17.595513065656025,1.0551251828021635,48
random_feasible,topk,2000,950,16.631080170472462,1.0097528378916387,48
random_feasible,topk,2000,1000,15.812967399756111,0.9095236744144288,48
random_feasible,topk,2000,1050,15.187019288539886,0.8963066420647624,48
random_feasible,topk,2000,1100,14.636778434117636,0.8788712986657292,48
random_feasible,topk,2000,1150,13.947017769018808,0.8815559594616418,48
random_feasible,topk,2000,1200,13.306526005268095,0.8476918804439766,48
random_feasible,topk,2000,1250,12.522820909818014,0.7884375436472432,48
random_feasible,topk,2000,1300,11.712150851885475,0.7117962377664375,48
random_feasible,topk,2000,1350,10.937099059422811,0.6403560833279596,48
random_feasible,topk,2000,1400,10.20405904452006,0.6671827612731472,48
random_feasible,topk,2000,1450,9.472658971945444,0.6005720463752151,48
random_feasible,topk,2000,1500,8.901520282030106,0.5688776244406805,48
random_feasible,topk,2000,1550,8.390622278054556,0.5692334056369064,48
random_feasible,topk,2000,1600,7.892555197079976,0.5376321167102113,48
random_feasible,topk,2000,1650,7.4760988454024,0.4853870660636732,48
random_feasible,topk,2000,1700,7.093279401461284,0.431521691094833,48
random_feasible,topk,2000,1750,6.751551161209743,0.3989738707627753,48
random_feasible,topk,2000,1800,6.4626942078272505,0.3910797283319417,48
random_feasible,topk,2000,1850,6.254254251718521,0.350926676569661,48
random_feasible,topk,2000,1900,6.0880322853724165,0.3418853684536991,48
random_feasible,topk,2000,1950,5.958512594302495,0.3403814637465531,48
random_feasible,topk,2000,2000,5.874472816785176,0.3409700464960458,48
random_feasible,topk,2000,2050,5.797979305187861,0.3394040549052097,48
random_feasible,topk,2000,2100,5.761973897616069,0.3358646967919507,48
random_feasible,topk,2000,2150,5.709762255350749,0.3143628159703262,48
random_feasible,topk,2000,2200,5.656051576137543,0.3155219972792814,48
random_feasible,topk,2000,2250,5.651404718557994,0.2942312810336188,48
random_feasible,topk,2000,2300,5.602727860212326,0.302531694044745,48
random_feasible,topk,2000,2350,5.575160314639409,0.2973924677346738,48
random_feasible,topk,2000,2400,5.54936084151268,0.2945892752616594,48
random_feasible,topk,2000,2450,5.531062722206116,0.2963339340311732,48
random_feasible,topk,2000,2500,5.5238388776779175,0.2947022183089716,48
random_feasible,topk,2000,2550,5.5128679672877,0.2762824450916314,48
random_feasible,topk,2000,2600,5.480013489723206,0.2802616833688907,48
random_feasible,topk,2000,2650,5.477128227551778,0.2818919748511957,48
random_feasible,topk,2000,2700,5.462072799603145,0.2848634552375627,48
random_feasible,topk,2000,2750,5.447263936201732,0.2916689405157328,48
random_feasible,topk,2000,2800,5.4320471584796906,0.2961690673096497,48
random_feasible,topk,2000,2850,5.431468993425369,0.2867466567951734,48
random_feasible,topk,2000,2900,5.442088574171066,0.2875327134652602,48
random_feasible,topk,2000,2950,5.432404696941376,0.2841039717790298,48
random_feasible,topk,2000,3000,5.435724427302678,0.2894288593198247,48
random_feasible,topk,2000,3050,5.425409376621246,0.288717199698122,48
random_feasible,topk,2000,3100,5.412599861621857,0.2780160824345026,48
random_feasible,topk,2000,3150,5.424288918574651,0.2903287110906377,48
random_feasible,topk,2000,3200,5.411448786656062,0.2888388773680697,48
random_feasible,topk,2000,3250,5.417741497357686,0.2740302857782127,48
random_feasible,topk,2000,3300,5.425447901089986,0.2898626098063522,48
random_feasible,topk,2000,3350,5.415428976217906,0.2814449854933919,48
random_feasible,topk,2000,3400,5.4161005318164825,0.275036624964882,48
random_feasible,topk,2000,3450,5.40861647327741,0.2719046228175364,48
random_feasible,topk,2000,3500,5.4034224053223925,0.2901766884210273,48
random_feasible,topk,2000,3550,5.407541632652283,0.2757252003499766,48
random_feasible,topk,2000,3600,5.402277797460556,0.2827000062196921,48
