method,num_rso,step,sim_time_h,n_values,mean_U,min_U,p025_U,p05_U,p50_U,p95_U,p975_U,max_U
expected_info_gain,2000,50,0.06944444444444445,96000,18.920350537907954,0.14997312426567078,0.520843155682087,1.0596445202827454,19.604278564453125,30.626374530792237,32.241864395141604,38.31816482543945
expected_info_gain,2000,100,0.1388888888888889,96000,17.4305136197318,0.14981797337532043,0.4723964542150497,0.9402417451143265,18.45337963104248,30.460728263854982,32.10404806137085,38.9329948425293
expected_info_gain,2000,150,0.20833333333333334,96000,15.471540766563576,0.07499714195728302,0.46983320713043214,0.9258050084114074,17.055109977722168,28.208948707580568,29.648862457275392,36.68532943725586
expected_info_gain,2000,200,0.2777777777777778,96000,15.203815043283083,0.0749988779425621,0.5551616087555885,1.0302506744861601,17.276369094848633,29.112242889404296,30.679923820495606,40.85826110839844
expected_info_gain,2000,250,0.3472222222222222,96000,17.598229284339585,0.1093173623085022,0.6412797331809997,1.2156930983066558,17.096118927001953,38.180956077575686,40.492247581481934,54.31370544433594
expected_info_gain,2000,300,0.4166666666666667,96000,19.805067544995342,0.08194832503795624,0.717585976421833,1.4121718406677244,13.448873519897461,48.681938362121585,51.78448715209961,70.63377380371094
expected_info_gain,2000,350,0.4861111111111111,96000,20.965251652698964,0.10678800940513611,0.6487143725156784,1.3284169852733612,12.208925247192383,58.09459247589111,62.0478338241577,83.89668273925781
expected_info_gain,2000,400,0.5555555555555556,96000,21.00244365610252,0.0749986320734024,0.45813238769769665,1.0108698785305024,12.566648960113525,65.17740631103517,70.50786437988278,94.14546203613281
expected_info_gain,2000,450,0.625,96000,20.758283743665785,0.07499825954437256,0.15889227762818336,0.599803802371025,13.69163990020752,69.24973678588869,75.6279773712158,109.9581527709961
expected_info_gain,2000,500,0.6944444444444444,96000,21.366612303544844,0.0749671459197998,0.15152295157313347,0.1579001985490322,15.372217178344727,72.01933860778811,82.28077907562248,110.69779205322266
expected_info_gain,2000,550,0.7638888888888888,96000,22.192144329279117,0.07499097287654877,0.15050773248076438,0.15430764034390448,16.972529411315918,73.68748359680178,89.3686866760253,110.77176666259766
expected_info_gain,2000,600,0.8333333333333334,96000,22.995733443599196,0.07492084801197052,0.150208455696702,0.15372131764888763,17.873409271240234,74.97549285888675,95.89858741760246,114.47212982177734
expected_info_gain,2000,650,0.9027777777777778,96000,23.368482136109687,0.07376019656658173,0.1500298459082842,0.15344178974628447,17.197375297546387,78.80563278198245,100.1708518981933,118.67829895019531
