method,access_mode,num_rso,n_episodes,U_ss_mean,U_ss_ci95,meanU_mean,meanU_ci95,maxU_mean,p99_mean,fine_custody_mean,mean_age_mean,return_mean,latency_ms_per_step,latency_ms_per_agent,pct_above_0.2_mean,pct_above_0.5_mean,pct_above_1_mean,pct_above_3_mean
random_feasible,topk,2000,48,5.581640350120562,0.0819364612021551,5.402277797460556,0.0808226266472316,39.88771359125773,31.248630180358887,0.78875,1372.8678690592449,1691.8851341625366,2.2581407108251974,0.0156815327140638,0.21125,0.1994479166666666,0.1989375,0.1979270833333333
max_uncertainty_greedy,topk,2000,48,5.620244314004709,0.0891505728523158,5.466908733050029,0.0887158863396585,40.233639081319176,31.13868841965993,0.7868333333333334,1371.5507837931316,1685.5303979666594,1.908709565098737,0.0132549275354078,0.2131666666666666,0.2020625,0.20153125,0.2007083333333333
expected_info_gain,topk,2000,48,5.583321734054668,0.0930378905670926,5.441091785828273,0.0964299987957173,39.06710203488668,31.110494773785277,0.7883020833333334,1369.9808832804365,1696.0819772607647,2.021409862775019,0.0140375684914931,0.2116979166666666,0.2010625,0.2004583333333333,0.1995
drl,topk,2000,48,0.0854710724146046,1.5464784763304666e-05,0.0845575306254128,3.4601530514092884e-05,0.1288761117806037,0.1076636514160782,1.0,486.912654876709,3448.1227792437808,9.174953370711592,0.0637149539632749,0.0,0.0,0.0,0.0
random_feasible,topk,3000,48,17.770724027006477,0.1971213922004873,15.872601707776388,0.1632637267031065,74.3140291372935,34.85079983154932,0.3587499999999999,1832.4211120605469,-1052.96099671054,2.294186228334891,0.0159318488078811,0.64125,0.5799513888888889,0.5779305555555556,0.5760833333333334
max_uncertainty_greedy,topk,3000,48,17.756338649504894,0.2127621123889394,15.888007402420044,0.1788029208918351,65.18555339177449,34.71043365875878,0.3513888888888889,1844.4152806599932,-1053.4417607303087,2.018595485193752,0.0140180242027343,0.6486111111111111,0.5812430555555556,0.5790972222222223,0.5772916666666666
expected_info_gain,topk,3000,48,17.821211843877226,0.1902867386044603,15.942862729231516,0.1666141040360993,71.39502851168315,34.72342796802519,0.3521180555555556,1829.4935124715169,-1064.4148070233252,2.2470445977200546,0.0156044763730559,0.6478819444444445,0.5837430555555555,0.581625,0.5798263888888889
drl,topk,3000,48,0.0973601605835463,1.778834200955523e-05,0.0933488869729141,3.5957150390105366e-05,0.1439575081070264,0.1209991212763512,0.9999930555555556,700.2809359232584,3342.1629261124567,6.747633973130481,0.0468585692578505,6.944444444444444e-06,0.0,0.0,0.0
random_feasible,topk,4000,48,26.48517529706697,0.1570028748933136,21.65661859512329,0.0841927484740711,103.41236623128256,35.58929030100504,0.1031666666666666,2599.3776041666665,-1963.3415818861688,2.204334144613919,0.0153078760042633,0.8968333333333334,0.7479895833333333,0.7399947916666667,0.7365260416666667
max_uncertainty_greedy,topk,4000,48,26.44760929679012,0.1536944760694844,21.633193651835125,0.0809414430841674,99.81708367665608,35.53779248555501,0.1029322916666666,2585.9590962727866,-1956.0170843366843,2.0272271599120963,0.0140779663882784,0.8970677083333335,0.7482447916666666,0.739765625,0.7360989583333334
expected_info_gain,topk,4000,48,26.5313255249917,0.1508794090722653,21.691272854804996,0.0803134217825193,103.98290570576984,35.57697684526443,0.1033020833333333,2584.813563028971,-1962.01560527257,2.1737153327052914,0.0150952453660089,0.8966979166666668,0.749625,0.741234375,0.7375833333333333
drl,topk,4000,48,0.165362989236307,0.0052183019947029,0.1577094076201319,0.0049904101976788,27.90836906433105,0.1402266531003017,0.9976666666666668,926.0177930196128,3166.182260063322,5.716016364066389,0.0396945580837943,0.0023333333333333,0.0021927083333333,0.0021666666666666,0.002140625
random_feasible,topk,5000,48,36.67015097055349,0.2034103295441758,22.771118839581806,0.0816446259396116,113.23694149653116,50.036177883943175,0.0327125,3026.143625895182,-2457.0898436599723,2.176359541909834,0.0151136079299294,0.9672875,0.8867041666666666,0.8389708333333333,0.812825
max_uncertainty_greedy,topk,5000,48,36.6421705441432,0.1542879260958507,22.76735520362854,0.0713083412199265,110.78669516245525,44.51834244966537,0.0331625,3021.312479654948,-2449.280031441711,2.0667129683675336,0.0143521733914412,0.9668375,0.8868416666666666,0.8393875,0.8138666666666667
expected_info_gain,topk,5000,48,36.60796575288515,0.1691224790406595,22.75332287947337,0.079423058819667,111.199466864268,48.21604284763379,0.0334875,3037.6493784586587,-2451.1031035815054,2.0512122342127745,0.0142445294042553,0.9665125,0.8863041666666667,0.8383625,0.8124125000000001
drl,topk,5000,48,0.8225994240995999,0.0201498777767741,0.8182507070402304,0.0201613595443437,29.73119803269704,27.45523421605429,0.9720958333333334,1197.1770655314128,2826.4772183488435,10.713082773207942,0.0743964081472773,0.0279041666666666,0.0269625,0.02685,0.0267291666666666
lstm,topk,2000,48,13.936196387351096,0.2313176129421965,12.566862126191458,0.1963362823112926,112.7917669614156,33.536077416737875,0.5090625000000001,1765.4278818766277,-300.1069737590539,5.484537863011509,0.0380870684931354,0.4909374999999999,0.4615520833333333,0.4600625,0.4582395833333333
lstm,topk,3000,48,24.47901652632533,0.1473270501943858,21.80716860294342,0.1017451980806219,113.65588649113973,35.29729248046874,0.1329583333333333,2564.508168538412,-1805.9795726807788,6.123498628659137,0.0425242960323551,0.8670416666666667,0.7260694444444443,0.7243124999999999,0.7220833333333333
lstm,topk,4000,48,39.339277699186994,0.2054425797172147,21.590698917706806,0.0568647235923919,114.34066947301228,32.18956342339505,0.0312447916666666,3415.1820170084634,-2521.327402466908,6.685381023678726,0.04642625710888,0.9687552083333334,0.8163125000000001,0.8023645833333334,0.7989010416666668
lstm,topk,5000,48,59.61849140476536,0.3131480900175658,27.73842140038808,0.3952184354696199,123.09609127044678,105.81077605088554,0.0135833333333333,4159.6907297770185,-3194.3479880495,6.245803598203565,0.0433736360986358,0.9864166666666666,0.9773041666666668,0.9621166666666668,0.9181875000000002
