method,access_mode,num_rso,num_agents,episode_global,batch,seed,mean_U,max_U,std_U,p50_U,p90_U,p95_U,p99_U,custody_3km,fine_custody,mean_age,episode_return,U_ss,pct_above_0.2,pct_above_0.5,pct_above_1,pct_above_3
random_feasible,topk,2000,12,0,0,52000,5.477211952209473,35.42911148071289,10.834784507751465,0.1315802931785583,27.271824073791503,28.763736534118653,31.346836681365968,0.7985,0.779,1370.637451171875,1641.231293976307,5.7145672231107145,0.221,0.2045,0.2035,0.2015
random_feasible,topk,2000,12,1,0,52000,4.77645206451416,39.88134765625,10.320331573486328,0.1332553401589393,26.92306480407715,28.665012264251708,31.20075054168701,0.827,0.815,1457.85498046875,1886.1765048876405,4.930283391797865,0.185,0.174,0.174,0.173
random_feasible,topk,2000,12,2,0,52000,4.695682525634766,38.86912536621094,10.252294540405272,0.1305264458060264,26.8691743850708,28.554703140258788,31.96056858062744,0.8295,0.813,1400.844970703125,1897.9943699240685,4.834912197009937,0.187,0.171,0.171,0.1705
random_feasible,topk,2000,12,3,0,52000,5.651071071624756,36.69370269775391,11.038093566894531,0.1303749307990074,27.381350517272956,28.9765682220459,32.09582355499268,0.7965,0.7835,1372.2425537109375,1674.1276027783751,5.670530886263461,0.2165,0.2055,0.2055,0.2035
random_feasible,topk,2000,12,4,0,52000,6.043410301208496,41.0839729309082,11.27428150177002,0.13431316614151,27.398105430603028,28.80067195892334,31.68789737701416,0.7795,0.766,1398.08251953125,1522.0519753172994,6.140870519586511,0.234,0.2215,0.221,0.2205
random_feasible,topk,2000,12,5,0,52000,5.297669410705566,34.827850341796875,10.691847801208496,0.1326970309019088,27.34344902038575,28.62827682495117,31.28331142425537,0.8055,0.7925,1397.68505859375,1731.193438194692,5.540723104734679,0.2075,0.1955,0.1945,0.1945
random_feasible,topk,2000,12,6,0,52000,5.241777420043945,35.794212341308594,10.674378395080566,0.1311812475323677,27.03531379699707,28.673142433166504,31.69422285079956,0.809,0.796,1381.6700439453125,1730.377207480371,5.4531082591495,0.204,0.1935,0.193,0.191
random_feasible,topk,2000,12,7,0,52000,5.231081962585449,43.65835189819336,10.658324241638184,0.1340152770280838,27.06580810546875,28.582427310943604,31.14989906311035,0.8085,0.7935,1416.89501953125,1754.1287960112095,5.410334471109751,0.2065,0.193,0.1925,0.1915
random_feasible,topk,2000,12,8,0,52000,5.4854021072387695,37.13122177124024,10.846521377563477,0.1327509880065918,27.216582107543942,28.622211456298828,31.122153816223143,0.7995,0.787,1401.1175537109375,1726.1976850256324,5.660870023675867,0.213,0.202,0.202,0.2005
random_feasible,topk,2000,12,9,0,52000,5.505671977996826,39.47544097900391,10.873242378234863,0.1329173073172569,27.15293941497803,28.79060592651367,30.96759578704834,0.7985,0.786,1379.239990234375,1661.5436818748713,5.665993368303454,0.214,0.202,0.202,0.2015
random_feasible,topk,2000,12,10,0,52000,5.516137599945068,35.10317611694336,10.78583526611328,0.1330181211233139,27.19132194519043,28.712584686279296,30.57358932495117,0.7935,0.7865,1349.739990234375,1624.855998262763,5.736469114148939,0.2135,0.2065,0.2065,0.2065
random_feasible,topk,2000,12,11,0,52000,5.554370880126953,34.950050354003906,10.890673637390137,0.1325827315449714,27.23287677764893,28.749290657043456,31.493256187438966,0.7975,0.7825,1391.9100341796875,1624.166304513812,5.753010788479367,0.2175,0.206,0.205,0.2025
random_feasible,topk,2000,12,12,1,52001,5.227765083312988,42.66625595092773,10.622674942016602,0.1272752434015274,27.04635009765625,28.32522039413452,31.480661849975583,0.806,0.791,1274.3299560546875,1723.544136792421,5.426270085412103,0.209,0.196,0.195,0.194
random_feasible,topk,2000,12,13,1,52001,5.785057067871094,39.20361328125,11.027673721313477,0.1344139799475669,27.16344280242921,28.77454690933228,31.229992599487304,0.7865,0.776,1369.572509765625,1583.2286621034143,6.058846215944032,0.224,0.215,0.2145,0.2135
random_feasible,topk,2000,12,14,1,52001,5.340316295623779,39.20805740356445,10.718278884887695,0.1302521899342537,27.101386642456056,28.643781089782717,30.79730251312256,0.8035,0.789,1382.324951171875,1697.3640528544784,5.566765282605146,0.211,0.1975,0.1975,0.1965
random_feasible,topk,2000,12,15,1,52001,5.368300914764404,38.809818267822266,10.778722763061523,0.1338683515787124,27.14068489074707,28.75888996124268,31.273566875457764,0.805,0.7905,1400.737548828125,1688.1792118549347,5.518462683703448,0.2095,0.1975,0.196,0.195
random_feasible,topk,2000,12,16,1,52001,4.9671311378479,43.49299621582031,10.44133758544922,0.1303937062621116,26.95313301086426,28.48646192550659,31.218722743988035,0.8185,0.806,1385.3924560546875,1809.776287510991,5.204826135893126,0.194,0.182,0.182,0.1815
random_feasible,topk,2000,12,17,1,52001,5.256443977355957,34.66066360473633,10.66750717163086,0.1311966702342033,27.12018737792969,28.554510211944574,30.98719440460205,0.8095,0.796,1351.6624755859375,1722.9061436727643,5.370841541805783,0.204,0.192,0.192,0.1905
random_feasible,topk,2000,12,18,1,52001,5.201422691345215,36.88058853149414,10.562318801879885,0.1301634609699249,27.014798545837404,28.30673894882202,30.72642414093017,0.807,0.797,1311.114990234375,1702.4594485014677,5.611137042174468,0.203,0.1975,0.195,0.193
random_feasible,topk,2000,12,19,1,52001,5.294246196746826,35.526798248291016,10.676002502441406,0.1291353330016136,26.9221061706543,28.438913440704344,30.778891010284426,0.8065,0.7955,1304.0625,1691.1947535797954,5.46089963655214,0.2045,0.1955,0.1955,0.1935
random_feasible,topk,2000,12,20,1,52001,5.417889595031738,42.86116027832031,10.808669090270996,0.1296567618846893,27.154096221923837,28.483939266204832,31.26465993881225,0.802,0.7905,1318.4375,1707.929881900549,5.578348417539854,0.2095,0.1995,0.199,0.198
random_feasible,topk,2000,12,21,1,52001,5.271207332611084,34.30780792236328,10.648773193359377,0.1314185038208961,26.99213237762452,28.50717611312866,30.88569465637207,0.8045,0.7875,1367.114990234375,1719.7716259285808,5.421951951207341,0.2125,0.196,0.196,0.1955
random_feasible,topk,2000,12,22,1,52001,5.986417770385742,38.5849609375,11.214564323425291,0.1365098357200622,27.46961078643799,28.89806833267212,31.29986423492432,0.78,0.7685,1413.58251953125,1484.9062372222545,6.228307040962013,0.2315,0.2205,0.22,0.22
