scenario,scenario_label,method,method_label,episode_id,rso_id,u_total_km
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,6,51.55573654174805
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,7,0.33939695358276367
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,8,105.86550903320312
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,9,7.300524711608887
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,10,0.8462096452713013
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,11,2.465191125869751
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,12,45.231605529785156
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,13,0.3581925630569458
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,14,0.4247395396232605
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,15,0.13674871623516083
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,16,1.9223089218139648
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,17,1.4922027587890625
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,18,105.47373962402344
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,19,1.0939404964447021
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,20,0.20662423968315125
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,21,108.86573791503906
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,22,11.982909202575684
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,23,109.90347290039062
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,24,108.4344482421875
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,25,0.6604213118553162
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,26,0.7683645486831665
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,27,0.09070935845375061
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,28,30.37316131591797
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,2,29,0.49150487780570984
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,0,105.70094299316406
id_fixed_30,ID: fixed 30,random_feasible,Random feasible,3,1,108.37581634521484
