hour,sim_time_s,episode_id,reset_seed,vector_env_index,rso_id,u_total_km
0,0,4,30000,4,11,7.197953224182129
0,0,4,30000,4,12,9.28860855102539
0,0,4,30000,4,13,7.910747528076172
0,0,4,30000,4,14,8.196019172668457
0,0,4,30000,4,15,7.629852294921875
0,0,4,30000,4,16,7.881224155426025
0,0,4,30000,4,17,6.533520221710205
0,0,4,30000,4,18,6.08251428604126
0,0,4,30000,4,19,7.312758922576904
0,0,4,30000,4,20,7.2493767738342285
0,0,4,30000,4,21,9.538219451904297
0,0,4,30000,4,22,7.33156156539917
0,0,4,30000,4,23,8.35175895690918
0,0,4,30000,4,24,7.454919338226318
0,0,4,30000,4,25,8.433374404907227
0,0,4,30000,4,26,8.23831844329834
0,0,4,30000,4,27,7.408034801483154
0,0,4,30000,4,28,7.699496269226074
0,0,4,30000,4,29,7.1552228927612305
0,0,5,30000,5,0,8.07240104675293
0,0,5,30000,5,1,7.684937477111816
0,0,5,30000,5,2,7.0695576667785645
0,0,5,30000,5,3,7.9766645431518555
0,0,5,30000,5,4,7.074069023132324
0,0,5,30000,5,5,8.657637596130371
0,0,5,30000,5,6,6.559906959533691
0,0,5,30000,5,7,6.397047519683838
0,0,5,30000,5,8,8.229867935180664
0,0,5,30000,5,9,8.16818618774414
0,0,5,30000,5,10,7.295589447021484
0,0,5,30000,5,11,7.139167785644531
0,0,5,30000,5,12,8.685906410217285
0,0,5,30000,5,13,7.878940582275391
0,0,5,30000,5,14,7.315796852111816
0,0,5,30000,5,15,9.534213066101074
0,0,5,30000,5,16,7.55778694152832
0,0,5,30000,5,17,6.974427700042725
0,0,5,30000,5,18,6.429357528686523
0,0,5,30000,5,19,8.375783920288086
0,0,5,30000,5,20,6.5105438232421875
0,0,5,30000,5,21,9.565584182739258
0,0,5,30000,5,22,7.789471626281738
0,0,5,30000,5,23,7.338339805603027
0,0,5,30000,5,24,9.226984977722168
0,0,5,30000,5,25,8.18147087097168
0,0,5,30000,5,26,6.782248020172119
0,0,5,30000,5,27,6.838089942932129
0,0,5,30000,5,28,8.507695198059082
0,0,5,30000,5,29,9.003801345825195
0,0,6,30000,6,0,7.6367082595825195
0,0,6,30000,6,1,6.582656383514404
0,0,6,30000,6,2,6.757696151733398
0,0,6,30000,6,3,9.207149505615234
0,0,6,30000,6,4,8.615378379821777
0,0,6,30000,6,5,8.104673385620117
0,0,6,30000,6,6,9.342905044555664
0,0,6,30000,6,7,8.784738540649414
0,0,6,30000,6,8,6.627790451049805
0,0,6,30000,6,9,8.56447696685791
0,0,6,30000,6,10,7.148940086364746
0,0,6,30000,6,11,6.867990970611572
0,0,6,30000,6,12,7.0406599044799805
0,0,6,30000,6,13,8.679666519165039
0,0,6,30000,6,14,8.107017517089844
0,0,6,30000,6,15,7.146430492401123
0,0,6,30000,6,16,8.401955604553223
0,0,6,30000,6,17,6.615405082702637
0,0,6,30000,6,18,7.0762939453125
0,0,6,30000,6,19,8.289604187011719
0,0,6,30000,6,20,7.861611843109131
0,0,6,30000,6,21,8.28274917602539
0,0,6,30000,6,22,7.535022735595703
0,0,6,30000,6,23,5.889656066894531
0,0,6,30000,6,24,7.710313320159912
0,0,6,30000,6,25,8.52792739868164
0,0,6,30000,6,26,7.792273998260498
0,0,6,30000,6,27,7.89804744720459
0,0,6,30000,6,28,7.8964433670043945
0,0,6,30000,6,29,9.522680282592773
0,0,7,30000,7,0,7.207147598266602
0,0,7,30000,7,1,7.591640949249268
0,0,7,30000,7,2,7.923896789550781
0,0,7,30000,7,3,8.664316177368164
0,0,7,30000,7,4,7.397845268249512
0,0,7,30000,7,5,9.282219886779785
0,0,7,30000,7,6,8.697111129760742
0,0,7,30000,7,7,9.227789878845215
0,0,7,30000,7,8,6.896720886230469
0,0,7,30000,7,9,7.03134298324585
0,0,7,30000,7,10,7.899724960327148
0,0,7,30000,7,11,8.904285430908203
0,0,7,30000,7,12,9.49913215637207
0,0,7,30000,7,13,9.116875648498535
0,0,7,30000,7,14,6.5766143798828125
0,0,7,30000,7,15,8.264216423034668
0,0,7,30000,7,16,6.663535118103027
0,0,7,30000,7,17,6.781575679779053
0,0,7,30000,7,18,9.260713577270508
0,0,7,30000,7,19,8.160139083862305
0,0,7,30000,7,20,6.939558029174805
0,0,7,30000,7,21,7.464119911193848
0,0,7,30000,7,22,6.127449035644531
0,0,7,30000,7,23,8.762861251831055
0,0,7,30000,7,24,9.02485179901123
0,0,7,30000,7,25,8.759825706481934
0,0,7,30000,7,26,6.500022888183594
0,0,7,30000,7,27,7.909967422485352
0,0,7,30000,7,28,8.094730377197266
0,0,7,30000,7,29,8.850854873657227
0,0,8,30000,8,0,10.227071762084961
0,0,8,30000,8,1,8.427639961242676
0,0,8,30000,8,2,9.755843162536621
0,0,8,30000,8,3,8.391633987426758
0,0,8,30000,8,4,7.880898952484131
0,0,8,30000,8,5,7.344851016998291
0,0,8,30000,8,6,7.755422115325928
0,0,8,30000,8,7,8.533987998962402
0,0,8,30000,8,8,9.08370304107666
0,0,8,30000,8,9,8.921061515808105
0,0,8,30000,8,10,8.521049499511719
0,0,8,30000,8,11,7.121521472930908
0,0,8,30000,8,12,8.318853378295898
0,0,8,30000,8,13,10.157224655151367
0,0,8,30000,8,14,9.879417419433594
0,0,8,30000,8,15,6.4273362159729
0,0,8,30000,8,16,9.231843948364258
0,0,8,30000,8,17,8.822518348693848
0,0,8,30000,8,18,9.389482498168945
0,0,8,30000,8,19,7.99384880065918
0,0,8,30000,8,20,8.33713436126709
0,0,8,30000,8,21,7.650506973266602
0,0,8,30000,8,22,7.910125255584717
0,0,8,30000,8,23,8.62988567352295
0,0,8,30000,8,24,6.7900214195251465
0,0,8,30000,8,25,7.903172016143799
0,0,8,30000,8,26,8.367908477783203
0,0,8,30000,8,27,6.81736946105957
0,0,8,30000,8,28,6.617297172546387
0,0,8,30000,8,29,9.518026351928711
0,0,9,30000,9,0,6.774740695953369
0,0,9,30000,9,1,6.859955787658691
0,0,9,30000,9,2,9.114551544189453
0,0,9,30000,9,3,7.27250862121582
0,0,9,30000,9,4,8.291099548339844
0,0,9,30000,9,5,7.906172752380371
0,0,9,30000,9,6,9.516064643859863
0,0,9,30000,9,7,8.16118335723877
0,0,9,30000,9,8,8.118091583251953
0,0,9,30000,9,9,8.431379318237305
0,0,9,30000,9,10,7.401515483856201
0,0,9,30000,9,11,9.645950317382812
0,0,9,30000,9,12,5.821683883666992
0,0,9,30000,9,13,7.645009994506836
0,0,9,30000,9,14,6.613399505615234
0,0,9,30000,9,15,6.901198387145996
0,0,9,30000,9,16,7.7201032638549805
0,0,9,30000,9,17,6.575631141662598
0,0,9,30000,9,18,6.802426338195801
0,0,9,30000,9,19,8.279827117919922
0,0,9,30000,9,20,7.509075164794922
0,0,9,30000,9,21,6.422474384307861
0,0,9,30000,9,22,7.222972393035889
0,0,9,30000,9,23,8.662638664245605
0,0,9,30000,9,24,10.078003883361816
0,0,9,30000,9,25,6.173601150512695
0,0,9,30000,9,26,8.221990585327148
0,0,9,30000,9,27,9.385090827941895
0,0,9,30000,9,28,9.058234214782715
0,0,9,30000,9,29,7.143316745758057
0,0,10,30000,10,0,8.352019309997559
0,0,10,30000,10,1,7.338872909545898
0,0,10,30000,10,2,8.668863296508789
0,0,10,30000,10,3,8.974075317382812
0,0,10,30000,10,4,8.824943542480469
0,0,10,30000,10,5,6.827498435974121
0,0,10,30000,10,6,8.329456329345703
0,0,10,30000,10,7,7.11878776550293
0,0,10,30000,10,8,7.825155735015869
0,0,10,30000,10,9,7.198827266693115
0,0,10,30000,10,10,10.1644868850708
0,0,10,30000,10,11,7.687809467315674
0,0,10,30000,10,12,7.217104434967041
0,0,10,30000,10,13,8.740771293640137
0,0,10,30000,10,14,7.375125885009766
0,0,10,30000,10,15,8.57752799987793
0,0,10,30000,10,16,7.945472240447998
0,0,10,30000,10,17,9.3841552734375
0,0,10,30000,10,18,9.427197456359863
0,0,10,30000,10,19,8.330373764038086
0,0,10,30000,10,20,8.230620384216309
0,0,10,30000,10,21,8.64991283416748
0,0,10,30000,10,22,7.740133285522461
0,0,10,30000,10,23,9.144625663757324
0,0,10,30000,10,24,7.295088291168213
0,0,10,30000,10,25,6.553752422332764
0,0,10,30000,10,26,6.809037208557129
