scenario,scenario_label,scenario_group,method,method_label,episode_id,reset_seed,vector_env_index,num_rso,mean_uncertainty,max_uncertainty,p90_uncertainty,p95_uncertainty,p99_uncertainty,custody,fine_custody,mean_age,episode_return
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,0,30000,0,30,36.73973083496094,118.94010925292969,106.12838973999024,108.59679565429687,115.98322525024415,0.5,0.0,7340.0791015625,-746.4270785227418
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,1,30000,1,30,23.535512924194336,109.10488891601562,102.82014083862305,106.94986648559569,108.94975112915039,0.6333333333333333,0.06666666666666667,7277.0712890625,-718.561103604734
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,2,30000,2,30,30.956897735595703,118.5786361694336,108.47757720947266,109.43649215698242,116.06283882141113,0.6,0.1,8057.39697265625,-746.6134189814329
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,3,30000,3,30,21.834964752197266,110.14561462402344,105.96843032836914,108.4714511871338,109.68279876708985,0.7,0.03333333333333333,7153.474609375,-696.2189345434308
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,4,30000,4,30,37.32733917236328,114.76253509521484,108.5555908203125,108.9239387512207,113.13623893737794,0.5333333333333333,0.03333333333333333,7737.4990234375,-765.8190894722939
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,5,30000,5,30,45.32351303100586,115.64181518554688,108.32143173217773,111.66246337890624,115.21677597045898,0.43333333333333335,0.03333333333333333,9562.1103515625,-758.3835816904902
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,6,30000,6,30,48.80762481689453,113.7699966430664,108.71236648559571,111.3738010406494,113.6898324584961,0.4666666666666667,0.03333333333333333,10862.810546875,-751.7847019955516
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,7,30000,7,30,42.926353454589844,108.8081283569336,108.17266464233398,108.46731719970703,108.71793922424317,0.5,0.0,9096.6474609375,-753.5725090205669
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,8,30000,8,30,41.86939239501953,120.63121795654297,108.78588638305663,113.32164573669431,119.48742912292481,0.4666666666666667,0.03333333333333333,9776.7607421875,-778.8299331367016
id_fixed_30,ID: fixed 30,in_distribution,random_feasible,Random feasible,9,30000,9,30,24.27735710144043,118.72554016113281,103.47520294189454,108.02456359863281,115.83941711425783,0.6666666666666666,0.06666666666666667,6254.97021484375,-734.9328331127763
