representation,scenario,samples,latent_outlier_fraction,projection_intrusion_fraction,latent_scenario_mixing,projected_scenario_mixing,median_uncertainty_km
encoder,catalogue_120,1600,0.02,0.031875,0.14683333333333334,0.16566666666666666,8.001036
encoder,id,1600,0.008125,0.02,0.10949999999999999,0.15041666666666667,2.07642295
encoder,inclination_150,1600,0.001875,0.00125,0.014624999999999999,0.02404166666666667,3.89189875
recurrent,catalogue_120,1600,0.01375,0.04,0.18266666666666664,0.21733333333333335,8.001036
recurrent,id,1600,0.014375,0.0425,0.15383333333333332,0.20620833333333333,2.07642295
recurrent,inclination_150,1600,0.001875,0.0,0.0155,0.028416666666666666,3.89189875
