representation,scenario,episode_id,time_h,mean_u_km,pre_umap_1,pre_umap_2,post_umap_1,post_umap_2,visible_fraction,latent_knn_distance,umap_knn_distance,latent_cross_scenario_fraction,umap_cross_scenario_fraction,projection_mismatch,latent_neighbor_scenario,umap_neighbor_scenario,high_dimensional_outlier,projected_outlier,projection_intrusion,audit_priority
encoder,catalogue_120,6,4.583333333333333,2.0211768,7.2763405,10.347569,1.3587097,8.085598,0.9333333333333333,0.18302171,0.11306228235342428,0.0,0.0,0.0,catalogue_120,catalogue_120,True,False,False,0.9605263157894737
recurrent,catalogue_120,5,5.194444444444445,1.1426543,9.577943,9.179196,10.485958,4.803842,0.6333333333333333,0.17896207,0.07074041437079276,0.6666666666666666,0.5333333333333333,-0.1333333333333333,id,id,True,False,False,0.9572368421052632
recurrent,id,2,2.6944444444444446,1.5989031,9.5609,9.036021,-3.403782,8.792895,0.2,0.17372796,0.0507444451635698,0.9333333333333333,1.0,0.06666666666666665,catalogue_120,catalogue_120,True,False,False,0.9539473684210527
recurrent,id,0,4.222222222222222,0.8456852,15.549719,8.69054,11.524872,5.8051805,0.13333333333333333,0.0014778376,0.2478329045076669,0.0,0.6,0.6,id,catalogue_120,False,False,True,0.9506578947368421
recurrent,catalogue_120,6,4.583333333333333,2.0211768,7.2763405,10.347569,1.3587097,8.085598,0.9333333333333333,0.07997443,0.3753782079588029,0.06666666666666667,0.6666666666666666,0.6,catalogue_120,id,False,False,True,0.9506578947368421
recurrent,catalogue_120,4,3.9166666666666665,2.8045394,6.167448,10.479789,1.9592143,10.280959,0.5,0.010480146,0.12639455119648324,0.0,0.6,0.6,catalogue_120,id,False,False,True,0.9506578947368421
encoder,inclination_150,2,4.388888888888889,1.632722,8.078104,9.653465,1.9555887,7.7992644,0.23333333333333334,0.17306754,0.2651523082571748,0.6666666666666666,1.0,0.33333333333333337,id,id,True,False,False,0.9506578947368421
encoder,catalogue_120,2,2.7777777777777777,5.9086313,-5.5406146,11.397037,-3.7061217,9.21832,0.6,0.16721655,0.3794546429300319,0.7333333333333333,0.9333333333333333,0.20000000000000007,inclination_150,inclination_150,True,True,False,0.944078947368421
recurrent,id,1,1.3888888888888888,13.872451,-1.0222261,15.261417,-5.906431,11.403584,0.1,0.017902045,0.25258430069205867,0.3333333333333333,0.8666666666666667,0.5333333333333334,id,catalogue_120,False,False,True,0.9424342105263158
recurrent,id,4,3.1944444444444446,0.905826,16.047205,8.305249,11.544612,6.071179,0.23333333333333334,0.0034023046,0.11153234579464212,0.3333333333333333,0.8666666666666667,0.5333333333333334,id,catalogue_120,False,False,True,0.9424342105263158
recurrent,inclination_150,2,4.305555555555555,3.008446,-1.6011432,-2.126283,-4.200459,0.42541593,0.2,0.16597979,0.1945650600549063,0.06666666666666667,0.0,-0.06666666666666667,inclination_150,inclination_150,True,False,False,0.9407894736842105
recurrent,catalogue_120,2,5.111111111111111,1.5924087,10.62863,11.115319,2.4872255,7.158582,0.5666666666666667,0.16445439,0.15990868799195887,0.26666666666666666,0.6666666666666666,0.39999999999999997,catalogue_120,id,True,False,True,0.9375
recurrent,catalogue_120,6,3.9166666666666665,2.8638198,4.29541,13.09407,-2.8547695,8.974577,0.8666666666666667,0.15519658,0.2518041396928655,0.3333333333333333,0.06666666666666667,-0.26666666666666666,catalogue_120,catalogue_120,True,False,False,0.9342105263157895
encoder,catalogue_120,6,4.555555555555555,2.0445306,7.0246506,10.411066,1.1290007,8.379999,0.9,0.15049228,0.17329692146917713,0.0,0.0,0.0,catalogue_120,catalogue_120,True,False,False,0.930921052631579
encoder,catalogue_120,5,3.6944444444444446,3.0930486,-1.023101,15.6919775,-3.7452624,9.308189,0.5333333333333333,0.1491743,0.1380701945470574,0.26666666666666666,0.4666666666666667,0.2,catalogue_120,catalogue_120,True,False,False,0.9276315789473685
encoder,catalogue_120,4,3.333333333333333,2.2385042,4.2331014,13.070778,-2.2566595,9.317098,0.8333333333333334,0.1462227,0.11250467900372475,0.0,0.13333333333333333,0.13333333333333333,catalogue_120,catalogue_120,True,False,False,0.9243421052631579
encoder,inclination_150,2,4.305555555555555,3.008446,-1.6011432,-2.126283,-4.200459,0.42541593,0.2,0.14556901,0.1496482066170796,0.06666666666666667,0.0,-0.06666666666666667,inclination_150,inclination_150,True,False,False,0.9210526315789473
encoder,id,2,2.6944444444444446,1.5989031,9.5609,9.036021,-3.403782,8.792895,0.2,0.14450786,0.07061792049541996,0.7333333333333333,0.8,0.06666666666666676,catalogue_120,catalogue_120,True,False,False,0.9177631578947368
recurrent,catalogue_120,6,3.861111111111111,3.3944137,0.9086085,16.172,-3.226818,14.946612,0.8,0.14341868,0.2741575155596089,0.13333333333333333,0.6666666666666666,0.5333333333333333,catalogue_120,id,True,False,True,0.9144736842105263
encoder,id,4,3.5,0.6564954,16.290962,7.8972282,12.582791,6.528631,0.13333333333333333,0.0012451251,0.19285506666269808,0.0,0.5333333333333333,0.5333333333333333,id,catalogue_120,False,False,True,0.912828947368421
recurrent,id,5,1.3333333333333333,16.702822,0.634612,13.560051,-2.7813985,15.453017,0.13333333333333333,0.006181979,0.13727365055896662,0.06666666666666667,0.6,0.5333333333333333,id,catalogue_120,False,False,True,0.912828947368421
recurrent,catalogue_120,0,5.055555555555555,2.848965,-5.297625,12.248703,-5.7882056,3.144522,0.4666666666666667,0.083236694,0.12096466537284736,0.4,0.9333333333333333,0.5333333333333333,catalogue_120,inclination_150,False,False,True,0.912828947368421
recurrent,id,4,3.2222222222222223,0.8130672,15.60673,8.700403,11.4475765,5.844248,0.26666666666666666,0.0021753986,0.20219478237688174,0.06666666666666667,0.6,0.5333333333333333,id,catalogue_120,False,False,True,0.912828947368421
recurrent,catalogue_120,7,5.444444444444445,4.641269,6.0183625,10.650762,1.8907995,10.369672,0.5666666666666667,0.017386468,0.0968335779471903,0.0,0.5333333333333333,0.5333333333333333,catalogue_120,id,False,False,True,0.912828947368421
encoder,catalogue_120,2,2.805555555555556,5.8802295,-5.1993356,11.969417,-3.9230661,9.364299,0.6,0.111767344,0.3722914902178285,0.06666666666666667,0.6,0.5333333333333333,catalogue_120,inclination_150,True,True,True,0.912828947368421
recurrent,id,3,2.583333333333333,3.2164755,5.3386154,9.259767,1.7414896,9.642859,0.06666666666666667,0.0050854245,0.15238668956102275,0.0,0.5333333333333333,0.5333333333333333,id,catalogue_120,False,False,True,0.912828947368421
encoder,catalogue_120,5,5.138888888888889,1.208716,8.491735,9.768946,2.4303994,7.176566,0.6666666666666666,0.09023957,0.09479651169518535,0.4,0.9333333333333333,0.5333333333333333,catalogue_120,id,False,False,True,0.912828947368421
recurrent,catalogue_120,3,3.6666666666666665,4.012207,2.7561908,10.605717,0.54093385,11.714902,0.5,0.028914329,0.1413981912318137,0.4666666666666667,1.0,0.5333333333333333,catalogue_120,id,False,False,True,0.912828947368421
recurrent,id,3,2.555555555555556,3.2373226,5.3342032,9.270195,1.7855068,9.646922,0.03333333333333333,0.0054664137,0.1408340573659304,0.0,0.5333333333333333,0.5333333333333333,id,catalogue_120,False,False,True,0.912828947368421
recurrent,id,0,4.25,0.83399624,15.557693,8.66893,11.563213,5.823695,0.13333333333333333,0.0013653914,0.2468019602765203,0.0,0.5333333333333333,0.5333333333333333,id,catalogue_120,False,False,True,0.912828947368421
recurrent,id,1,1.9722222222222223,5.2844872,3.6250298,10.031397,1.5265812,12.242254,0.16666666666666666,0.0038357417,0.20378739987968525,0.06666666666666667,0.6,0.5333333333333333,id,catalogue_120,False,False,True,0.912828947368421
recurrent,catalogue_120,4,3.111111111111111,6.637517,-4.396735,12.37315,-5.519523,3.5311916,0.5,0.03425018,0.19276503880870174,0.06666666666666667,0.6,0.5333333333333333,catalogue_120,inclination_150,False,False,True,0.912828947368421
encoder,id,1,3.2777777777777777,0.7173876,16.368376,7.9265656,12.54575,6.5081453,0.23333333333333334,0.0017697294,0.23023620963145955,0.0,0.5333333333333333,0.5333333333333333,id,catalogue_120,False,False,True,0.912828947368421
recurrent,catalogue_120,6,4.611111111111111,1.9868098,6.6344943,10.280603,2.2906675,9.522076,0.8,0.0057938695,0.21606533398024494,0.0,0.5333333333333333,0.5333333333333333,catalogue_120,id,False,False,True,0.912828947368421
encoder,catalogue_120,4,3.305555555555556,2.1886556,4.312307,13.150428,-2.388519,9.388696,0.8,0.14207216,0.12914604279572833,0.0,0.13333333333333333,0.13333333333333333,catalogue_120,catalogue_120,True,False,False,0.9111842105263158
recurrent,catalogue_120,2,3.861111111111111,2.574273,4.3878703,13.275151,-3.4503317,8.734399,0.9,0.13762812,0.09719294575729136,0.4,0.06666666666666667,-0.33333333333333337,catalogue_120,catalogue_120,True,False,False,0.9078947368421053
encoder,catalogue_120,4,3.4166666666666665,2.301305,4.2739115,13.345449,-3.3651674,8.796251,0.7,0.13720518,0.15494010866734326,0.06666666666666667,0.06666666666666667,0.0,catalogue_120,catalogue_120,True,False,False,0.9046052631578947
recurrent,catalogue_120,1,4.972222222222222,3.5898738,-0.0187147,16.918188,-8.240302,10.56454,0.7333333333333333,0.13707842,0.06041209291444099,0.0,0.0,0.0,catalogue_120,catalogue_120,True,False,False,0.9013157894736842
encoder,catalogue_120,4,3.361111111111111,2.2999892,4.243698,13.094644,-2.0056443,9.26134,0.7333333333333333,0.13315208,0.11004601878095731,0.0,0.13333333333333333,0.13333333333333333,catalogue_120,catalogue_120,True,False,False,0.8980263157894737
recurrent,id,0,2.833333333333333,3.4803183,-3.4880419,10.414308,-0.8974359,11.710997,0.16666666666666666,0.13228244,0.31326547646152486,0.3333333333333333,0.06666666666666667,-0.26666666666666666,id,id,True,False,False,0.8947368421052632
recurrent,catalogue_120,4,3.305555555555556,2.1886556,4.312307,13.150428,-2.388519,9.388696,0.8,0.13203071,0.22841166816052913,0.0,0.0,0.0,catalogue_120,catalogue_120,True,False,False,0.8914473684210527
recurrent,id,7,3.111111111111111,1.1739647,9.634628,9.564419,2.9694622,6.593579,0.16666666666666666,0.1309015,0.19436520416690534,0.06666666666666667,0.06666666666666667,0.0,id,id,True,False,False,0.8881578947368421
encoder,catalogue_120,4,3.388888888888889,2.3606048,4.2719536,13.151024,-1.9902483,9.238163,0.7333333333333333,0.13059099,0.11858217897391612,0.0,0.13333333333333333,0.13333333333333333,catalogue_120,catalogue_120,True,False,False,0.8848684210526315
