scenario,episode_id,time_h,mean_u_km,pre_umap_1,pre_umap_2,post_umap_1,post_umap_2
id,3,0.2222222222222222,7.617743,1.8490366,9.190976,1.3624015,11.303972
id,0,0.25,6.901784,1.8395616,9.165296,1.2055892,11.407439
id,1,0.25,7.6198587,1.782578,9.148926,1.1516033,11.557445
id,2,0.25,7.686795,1.8035228,9.178361,1.2228405,11.510296
id,3,0.25,7.3616776,1.3598424,9.667304,0.1818496,10.907372
id,0,0.2777777777777778,7.1131177,1.867374,8.828758,0.76606715,11.740348
id,1,0.2777777777777778,7.8582134,1.6635891,9.195771,0.69538534,11.436004
id,2,0.2777777777777778,8.23971,1.3883404,9.5828,0.38899088,11.193239
id,3,0.2777777777777778,7.915692,1.5959104,9.363877,0.81341016,11.28014
id,0,0.3055555555555556,7.4863973,1.50572,9.392777,0.5556188,11.322791
id,1,0.3055555555555556,8.315926,1.684085,9.279537,1.1607203,11.586949
id,2,0.3055555555555556,8.759047,1.2793131,9.7570095,0.007173626,11.058798
id,3,0.3055555555555556,7.7376685,1.3102791,9.760773,0.19991416,11.083208
id,0,0.3333333333333333,8.338658,1.2287852,9.887552,0.21902314,11.255899
id,1,0.3333333333333333,8.904144,1.7516649,9.229699,1.1372219,12.127624
