representation,scenario,episode_id,time_h,mean_u_km,pre_umap_1,pre_umap_2,post_umap_1,post_umap_2,visible_fraction,latent_knn_distance,umap_knn_distance,latent_cross_scenario_fraction,umap_cross_scenario_fraction,projection_mismatch,latent_neighbor_scenario,umap_neighbor_scenario,high_dimensional_outlier,projected_outlier,projection_intrusion
encoder,id,0,0.1944444444444444,6.7591953,2.091806,8.944863,1.1805155,11.731751,0.16666666666666666,0.006100138,0.1695255572281383,0.0,0.0,0.0,id,id,False,False,False
encoder,id,1,0.1944444444444444,7.535913,1.7224308,9.279672,1.1079396,11.229402,0.16666666666666666,0.009631991,0.09189256243380492,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,2,0.1944444444444444,7.5899444,1.7248541,9.22797,0.9717067,11.33951,0.13333333333333333,0.0056108553,0.08361513284935457,0.0,0.0,0.0,id,id,False,False,False
encoder,id,3,0.1944444444444444,7.744185,1.8959647,9.210184,1.3645674,11.296452,0.23333333333333334,0.011355332,0.08669747420953357,0.0,0.0,0.0,id,id,False,False,False
encoder,id,0,0.2222222222222222,6.6016784,1.8969326,8.831657,0.8363877,11.6196165,0.16666666666666666,0.00546546,0.07525271838762665,0.06666666666666667,0.3333333333333333,0.26666666666666666,id,id,False,False,False
encoder,id,1,0.2222222222222222,7.647504,1.896733,8.863899,0.849469,11.683703,0.16666666666666666,0.004761815,0.08989736706228633,0.0,0.4,0.4,id,id,False,False,False
encoder,id,2,0.2222222222222222,7.416494,1.8551738,9.14608,1.2005038,11.556298,0.13333333333333333,0.0047173738,0.0721432147363748,0.0,0.0,0.0,id,id,False,False,False
encoder,id,3,0.2222222222222222,7.617743,1.8490366,9.190976,1.3624015,11.303972,0.23333333333333334,0.013086617,0.06828060669709098,0.0,0.0,0.0,id,id,False,False,False
encoder,id,0,0.25,6.901784,1.8395616,9.165296,1.2055892,11.407439,0.2,0.005822587,0.06742002706472157,0.0,0.0,0.0,id,id,False,False,False
encoder,id,1,0.25,7.6198587,1.782578,9.148926,1.1516033,11.557445,0.13333333333333333,0.0039747637,0.08443065993807922,0.0,0.0,0.0,id,id,False,False,False
encoder,id,2,0.25,7.686795,1.8035228,9.178361,1.2228405,11.510296,0.16666666666666666,0.0048410296,0.07280971731159225,0.0,0.0,0.0,id,id,False,False,False
encoder,id,3,0.25,7.3616776,1.3598424,9.667304,0.1818496,10.907372,0.2,0.014264381,0.16565385467120233,0.0,0.13333333333333333,0.13333333333333333,id,id,False,False,False
encoder,id,0,0.2777777777777778,7.1131177,1.867374,8.828758,0.76606715,11.740348,0.13333333333333333,0.006257208,0.07192852384884402,0.13333333333333333,0.3333333333333333,0.19999999999999998,id,id,False,False,False
encoder,id,1,0.2777777777777778,7.8582134,1.6635891,9.195771,0.69538534,11.436004,0.13333333333333333,0.0069768825,0.09937156368902246,0.06666666666666667,0.06666666666666667,0.0,id,id,False,False,False
encoder,id,2,0.2777777777777778,8.23971,1.3883404,9.5828,0.38899088,11.193239,0.13333333333333333,0.010297437,0.20659614202625243,0.0,0.13333333333333333,0.13333333333333333,id,id,False,False,False
encoder,id,3,0.2777777777777778,7.915692,1.5959104,9.363877,0.81341016,11.28014,0.16666666666666666,0.012722051,0.11869219254553832,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,0,0.3055555555555556,7.4863973,1.50572,9.392777,0.5556188,11.322791,0.1,0.00848186,0.1761254578720635,0.06666666666666667,0.13333333333333333,0.06666666666666667,id,id,False,False,False
encoder,id,1,0.3055555555555556,8.315926,1.684085,9.279537,1.1607203,11.586949,0.16666666666666666,0.007941814,0.08157226304449121,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,2,0.3055555555555556,8.759047,1.2793131,9.7570095,0.007173626,11.058798,0.16666666666666666,0.015133099,0.12967311989648825,0.0,0.13333333333333333,0.13333333333333333,id,id,False,False,False
encoder,id,3,0.3055555555555556,7.7376685,1.3102791,9.760773,0.19991416,11.083208,0.2,0.010178725,0.13003263259604475,0.0,0.13333333333333333,0.13333333333333333,id,id,False,False,False
encoder,id,0,0.3333333333333333,8.338658,1.2287852,9.887552,0.21902314,11.255899,0.1,0.0093151685,0.12899785737502517,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,1,0.3333333333333333,8.904144,1.7516649,9.229699,1.1372219,12.127624,0.13333333333333333,0.013045144,0.08236055957095204,0.06666666666666667,0.0,-0.06666666666666667,id,id,False,False,False
encoder,id,2,0.3333333333333333,9.396717,1.2420157,9.838488,-0.023156503,11.1310835,0.16666666666666666,0.014303688,0.13067585086498912,0.0,0.06666666666666667,0.06666666666666667,id,id,False,False,False
encoder,id,3,0.3333333333333333,8.646896,1.145349,10.033972,-0.20828375,11.198464,0.13333333333333333,0.011731128,0.13031192202644862,0.0,0.0,0.0,id,id,False,False,False
encoder,id,0,0.3611111111111111,9.279938,1.1569185,10.034013,0.07020484,12.5902405,0.06666666666666667,0.0098339915,0.129783377691471,0.0,0.0,0.0,id,id,False,False,False
