family,family_label,x_label,x_value,point_label,is_id,method,method_label,episode_id,reset_seed,vector_env_index,num_rso,mean_uncertainty,max_uncertainty,p95_uncertainty,fine_custody
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,7,41000,7,30,0.6589504480361938,2.152179002761841,1.9533274114131924,0.13333333333333333
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,8,41000,8,30,0.7553113102912903,2.7540504932403564,2.263793945312499,0.13333333333333333
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,9,41000,9,30,0.636222779750824,3.609217643737793,2.1316152691841097,0.23333333333333334
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,10,41000,10,30,1.3979185819625854,10.114509582519531,5.837766098976118,0.13333333333333333
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,11,41000,11,30,0.45983824133872986,1.8292917013168335,1.2871246933937062,0.23333333333333334
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,12,41001,0,30,0.912102460861206,3.004215717315674,2.573337233066558,0.16666666666666666
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,13,41001,1,30,0.882773220539093,3.201726198196411,2.6365779042243935,0.13333333333333333
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,14,41001,2,30,0.8709851503372192,4.027813911437988,2.891664838790887,0.06666666666666667
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,15,41001,3,30,0.8792780041694641,5.41661262512207,2.5612649679183948,0.16666666666666666
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,16,41001,4,30,0.7454552054405212,3.380619525909424,2.192505526542663,0.2
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,17,41001,5,30,0.688373327255249,2.2856709957122803,1.9849045932292937,0.2
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,18,41001,6,30,0.6883108615875244,2.744328022003174,2.532711946964264,0.2
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,19,41001,7,30,0.8131343126296997,4.575910568237305,2.7354378104209878,0.13333333333333333
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,20,41001,8,30,0.595333456993103,3.1928749084472656,1.4463220417499538,0.13333333333333333
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,21,41001,9,30,0.7123822569847107,3.149289846420288,2.5504507780075047,0.13333333333333333
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,22,41001,10,30,0.5165109634399414,1.8990838527679443,1.3360384702682486,0.16666666666666666
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,flat_lstm,Flat LSTM,23,41001,11,30,0.6315031051635742,3.5186798572540283,1.5845452904701232,0.13333333333333333
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,0,41000,0,30,0.5745923519134521,2.6904773712158203,1.7631370663642847,0.16666666666666666
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,1,41000,1,30,0.42686188220977783,1.2532575130462646,0.953091350197791,0.13333333333333333
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,2,41000,2,30,0.4754529893398285,2.599048137664795,1.0193147659301756,0.23333333333333334
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,3,41000,3,30,0.4328922629356384,2.222836971282959,1.2719942390918721,0.26666666666666666
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,4,41000,4,30,0.40217331051826477,1.514832615852356,0.8164203137159339,0.1
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,5,41000,5,30,0.2788352370262146,0.6167962551116943,0.5083265632390974,0.36666666666666664
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,6,41000,6,30,0.3811430037021637,1.9601657390594482,0.8175405442714686,0.26666666666666666
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,7,41000,7,30,0.4220600426197052,1.236633539199829,0.8988598406314848,0.2
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,8,41000,8,30,0.4088744819164276,1.3546098470687866,1.1221335023641577,0.23333333333333334
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,9,41000,9,30,0.35560116171836853,0.9167998433113098,0.7388087689876555,0.3333333333333333
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,10,41000,10,30,0.4688921570777893,1.0504677295684814,0.98805376291275,0.16666666666666666
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,11,41000,11,30,0.31141892075538635,0.6049116849899292,0.5776414960622787,0.23333333333333334
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,12,41001,0,30,0.4326367974281311,1.489823579788208,1.3065423488616932,0.2
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,13,41001,1,30,0.4140162467956543,1.0364046096801758,0.8722803473472592,0.13333333333333333
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,14,41001,2,30,0.3775832951068878,0.8654903769493103,0.7364336997270583,0.26666666666666666
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,15,41001,3,30,0.5283119082450867,2.975306272506714,1.3293003559112546,0.16666666666666666
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,16,41001,4,30,0.2961934804916382,0.5278434157371521,0.48502267301082597,0.16666666666666666
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,17,41001,5,30,0.4415367543697357,1.2733500003814697,0.905996939539909,0.26666666666666666
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,18,41001,6,30,0.3455788791179657,0.7042900919914246,0.6778794348239897,0.3
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,19,41001,7,30,0.3712347149848938,1.5123635530471802,0.7075507342815399,0.2
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,20,41001,8,30,0.4091784656047821,1.4908933639526367,1.098244670033453,0.2
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,21,41001,9,30,0.4529096484184265,1.0656689405441284,0.9803973793983454,0.2
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,22,41001,10,30,0.3865141272544861,1.3171706199645996,0.7846894949674604,0.23333333333333334
catalogue_size,Catalogue size,Number of RSOs,30.0,30,1,pointer_lstm,Attention-LSTM pointer,23,41001,11,30,0.5260925889015198,2.27292799949646,1.2202054500579829,0.23333333333333334
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,0,41000,0,45,3.7208120822906494,101.98115539550781,5.303460311889647,0.022222222222222223
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,1,41000,1,45,0.7490324378013611,2.513277530670166,1.5183249711990352,0.044444444444444446
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,2,41000,2,45,1.0235016345977783,4.317827224731445,2.5451770305633534,0.06666666666666667
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,3,41000,3,45,0.7571566104888916,2.1883060932159424,1.9088547706603995,0.15555555555555556
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,4,41000,4,45,1.7517598867416382,6.610299587249756,4.764381122589111,0.08888888888888889
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,5,41000,5,45,0.6198564171791077,2.4579319953918457,1.48134889602661,0.044444444444444446
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,6,41000,6,45,1.4875379800796509,32.00937271118164,3.0757598876953103,0.08888888888888889
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,7,41000,7,45,2.4466874599456787,29.84185791015625,7.157199287414544,0.06666666666666667
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,8,41000,8,45,0.8151640892028809,4.457747936248779,1.7194740056991569,0.17777777777777778
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,9,41000,9,45,1.5616555213928223,18.149734497070312,4.475609207153319,0.022222222222222223
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,10,41000,10,45,0.7540171146392822,2.6172945499420166,1.8498859167098998,0.1111111111111111
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,11,41000,11,45,1.1989319324493408,7.245038986206055,2.9938000202178934,0.06666666666666667
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,12,41001,0,45,0.764778733253479,2.8758959770202637,2.123965072631835,0.08888888888888889
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,13,41001,1,45,1.1290745735168457,3.922250986099243,3.5712390899658186,0.08888888888888889
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,14,41001,2,45,2.377368450164795,17.316959381103516,7.513462066650389,0.0
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,15,41001,3,45,1.435996174812317,5.772495269775391,4.369237613677975,0.1111111111111111
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,16,41001,4,45,0.7111081480979919,1.4196919202804565,1.3494566440582272,0.044444444444444446
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,17,41001,5,45,1.5575432777404785,31.30092430114746,2.58173632621765,0.08888888888888889
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,18,41001,6,45,0.9237156510353088,3.253201484680176,2.4370766639709465,0.06666666666666667
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,19,41001,7,45,1.941990852355957,7.950264930725098,5.327221393585202,0.06666666666666667
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,20,41001,8,45,0.8442938923835754,3.124333143234253,2.0787961483001705,0.08888888888888889
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,21,41001,9,45,1.1372414827346802,5.745338439941406,3.06646614074707,0.08888888888888889
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,22,41001,10,45,4.962585926055908,39.68886947631836,19.72196807861328,0.044444444444444446
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,expected_info_gain,Expected information gain,23,41001,11,45,1.9328134059906006,10.06758975982666,6.223391342163086,0.06666666666666667
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,0,41000,0,45,2.011993169784546,6.221225261688232,3.976422023773193,0.022222222222222223
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,1,41000,1,45,1.4840365648269653,5.408140659332275,3.8585648536682116,0.06666666666666667
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,2,41000,2,45,13.359320640563965,119.58334350585938,33.3515399932861,0.022222222222222223
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,3,41000,3,45,1.0219244956970215,2.5996365547180176,2.261909532546997,0.06666666666666667
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,4,41000,4,45,3.4822418689727783,18.298370361328125,11.412196731567377,0.022222222222222223
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,5,41000,5,45,1.564584732055664,9.245552062988281,4.308618640899657,0.0
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,6,41000,6,45,1.6483042240142822,10.364416122436523,3.830755043029785,0.06666666666666667
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,7,41000,7,45,1.6308516263961792,3.6675801277160645,3.0735262870788573,0.022222222222222223
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,8,41000,8,45,1.5812482833862305,5.617002964019775,4.710739994049069,0.08888888888888889
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,9,41000,9,45,1.2481310367584229,6.641176700592041,2.8536287307739245,0.08888888888888889
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,10,41000,10,45,1.1543240547180176,4.5241546630859375,2.5921196460723874,0.06666666666666667
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,11,41000,11,45,2.9787254333496094,12.990727424621582,12.103010749816894,0.08888888888888889
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,12,41001,0,45,1.3646444082260132,6.060678482055664,3.1439554691314697,0.08888888888888889
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,13,41001,1,45,1.2744872570037842,3.9305529594421387,2.9805031776428215,0.06666666666666667
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,14,41001,2,45,5.419079780578613,95.29378509521484,24.481983184814432,0.044444444444444446
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,15,41001,3,45,3.711357593536377,31.636577606201172,12.54403076171875,0.06666666666666667
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,16,41001,4,45,3.558539867401123,24.239227294921875,15.77594928741454,0.044444444444444446
catalogue_size,Catalogue size,Number of RSOs,45.0,45,0,flat_lstm,Flat LSTM,17,41001,5,45,1.6596482992172241,8.192784309387207,3.5865000724792475,0.022222222222222223
